Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,55.50,56.25,55.13,55.38,3820600,26.18
2000-12-13,56.19,57.81,55.88,57.56,5527900,27.21
2000-12-14,56.75,57.69,56.44,56.75,4474700,26.83
2000-12-15,56.00,56.94,55.31,55.31,10358600,26.15
2000-12-18,55.31,56.13,54.38,55.81,4649300,26.38
2000-12-19,53.50,54.00,51.06,51.88,11895700,24.52
2000-12-20,51.13,51.44,49.50,50.13,8173300,23.69
2000-12-21,50.00,50.06,48.44,48.81,7036900,23.07
2000-12-22,48.50,48.88,46.50,48.13,6663600,22.75
2000-12-26,47.63,50.00,47.63,49.75,3414500,23.52
2000-12-27,49.50,50.63,49.38,50.56,4214600,23.90
2000-12-28,50.56,50.75,48.69,48.94,4278500,23.13
2000-12-29,49.75,50.94,48.50,50.13,4510600,23.69
2001-01-02,49.63,50.50,48.81,50.25,5242800,23.75
2001-01-03,50.75,54.75,50.50,53.13,9089100,25.11
2001-01-04,54.81,55.50,54.13,54.69,6909100,25.85
2001-01-05,55.38,55.50,54.19,54.56,5302300,25.79
2001-01-08,54.38,54.56,53.06,54.25,4672100,25.83
2001-01-09,53.25,56.81,53.25,55.50,5758400,26.42
2001-01-10,55.25,57.13,54.94,56.19,4506700,26.75
2001-01-11,56.19,56.81,55.63,55.75,4297900,26.54
2001-01-12,55.75,56.00,54.25,55.50,5852200,26.42
2001-01-16,55.38,55.44,53.25,54.38,5155400,25.89
2001-01-17,54.38,54.75,53.50,53.94,6213900,25.68
2001-01-18,53.94,56.88,53.94,55.75,5716800,26.54
2001-01-19,55.75,56.13,54.75,55.38,4718000,26.36
2001-01-22,55.44,55.44,52.50,53.94,4795800,25.68
2001-01-23,54.19,54.19,52.56,53.81,4943100,25.62
2001-01-24,54.38,54.38,51.00,51.88,7255900,24.70
2001-01-25,51.19,51.63,49.75,51.19,5202800,24.37
2001-01-26,52.00,52.44,49.94,51.88,4930100,24.70
2001-01-29,51.88,53.99,51.61,53.28,4813500,25.36
2001-01-30,53.03,53.98,52.34,53.89,4223800,25.65
2001-01-31,53.65,54.95,53.24,54.95,5237100,26.16
2001-02-01,54.70,55.00,53.60,55.00,5903300,26.18
2001-02-02,53.10,53.31,51.30,52.00,10135500,24.75
2001-02-05,52.00,52.55,51.51,52.50,6146400,24.99
2001-02-06,52.95,54.40,52.75,54.40,4177900,25.90
2001-02-07,53.80,53.82,52.94,52.95,4207500,25.21
2001-02-08,53.25,53.25,52.60,53.15,4875000,25.30
2001-02-09,53.40,53.99,52.00,52.49,4201700,24.99
2001-02-12,52.49,53.95,52.43,53.45,4451900,25.45
2001-02-13,53.35,54.28,52.75,54.20,3953600,25.80
2001-02-14,53.75,53.80,52.16,52.20,4374000,24.85
2001-02-15,52.35,53.70,51.30,52.11,5344200,24.81
2001-02-16,51.87,52.74,51.50,52.52,4685500,25.00
2001-02-20,52.00,52.56,50.51,51.45,5115400,24.49
2001-02-21,51.00,51.15,48.35,49.00,6316700,23.33
2001-02-22,49.10,50.02,48.20,49.00,6509500,23.33
2001-02-23,48.05,49.37,46.88,49.12,6887100,23.38
2001-02-26,50.10,51.10,48.88,50.95,4712200,24.26
2001-02-27,51.25,51.45,50.25,50.85,3426400,24.21
2001-02-28,51.35,51.35,49.00,49.50,4955000,23.56
2001-03-01,49.30,49.35,47.65,48.44,4100900,23.06
2001-03-02,47.55,49.95,46.64,49.51,5189800,23.57
2001-03-05,49.30,49.30,47.92,48.13,4536900,22.91
2001-03-06,49.90,49.90,47.99,48.12,4712200,22.91
2001-03-07,48.55,48.55,47.52,47.76,4168100,22.74
2001-03-08,48.40,49.40,48.24,49.25,3736000,23.45
2001-03-09,48.70,48.72,47.60,47.74,3863400,22.73
2001-03-12,47.40,48.99,47.25,47.46,3931900,22.59
2001-03-13,47.70,49.50,47.20,49.18,4824500,23.41
2001-03-14,48.00,48.40,45.85,46.90,5588900,22.33
2001-03-15,47.00,48.05,46.20,48.05,4957700,22.87
2001-03-16,46.65,48.25,46.65,47.33,9618500,22.53
2001-03-19,46.90,49.00,46.65,48.88,4786400,23.27
2001-03-20,48.00,48.05,47.01,47.04,4552700,22.39
2001-03-21,46.50,47.25,45.85,46.11,5723500,21.95
2001-03-22,45.60,46.20,44.36,46.00,6587000,21.90
2001-03-23,44.50,46.95,43.80,46.95,5984800,22.35
2001-03-26,47.10,48.00,46.55,48.00,5553600,22.85
2001-03-27,47.75,50.50,47.25,50.11,5909900,23.86
2001-03-28,49.20,49.80,45.56,47.19,6788400,22.47
2001-03-29,46.50,48.75,46.50,48.20,5517200,22.95
2001-03-30,49.00,49.50,47.60,49.30,5332500,23.47
2001-04-02,49.75,50.10,48.12,48.65,5687600,23.16
2001-04-03,48.65,48.90,47.50,47.60,6181700,22.66
2001-04-04,48.25,49.50,47.49,48.90,7623500,23.28
2001-04-05,48.00,49.50,47.00,49.50,9124200,23.56
2001-04-06,48.90,49.63,47.26,49.45,7485300,23.73
2001-04-09,48.90,50.35,48.83,50.25,6172200,24.11
2001-04-10,50.50,51.50,50.44,51.04,7847400,24.49
2001-04-11,50.75,51.02,50.05,50.45,7520800,24.21
2001-04-12,50.25,52.15,49.80,52.08,5985800,24.99
2001-04-16,52.08,52.95,50.85,52.00,4101000,24.95
2001-04-17,51.50,52.99,51.30,52.90,5572600,25.38
2001-04-18,53.00,53.85,51.90,53.26,7714600,25.55
2001-04-19,53.75,53.90,52.01,53.50,4766000,25.67
2001-04-20,53.05,53.50,52.88,53.06,7051700,25.46
2001-04-23,52.45,53.05,50.75,52.91,6019600,25.39
2001-04-24,52.91,53.90,52.76,52.81,4446900,25.34
2001-04-25,54.25,55.29,54.02,55.18,8626800,26.47
2001-04-26,55.95,56.60,55.43,55.49,8094200,26.62
2001-04-27,55.50,55.75,54.75,55.70,5095900,26.72
2001-04-30,55.85,56.47,54.60,55.07,5908400,26.42
2001-05-01,54.90,56.81,54.54,56.69,5669500,27.20
2001-05-02,56.69,56.99,56.15,56.90,5101200,27.30
2001-05-03,56.65,56.65,54.99,55.80,4707800,26.77
2001-05-04,55.35,56.50,54.79,55.80,5900800,26.77
2001-05-07,55.85,56.90,55.35,56.83,4880800,27.27
2001-05-08,56.95,56.98,55.57,55.60,5251400,26.68
2001-05-09,55.60,55.60,52.60,53.82,28522500,25.82
2001-05-10,54.15,54.20,53.15,53.41,8986300,25.63
2001-05-11,53.50,53.71,52.85,53.29,5809700,25.57
2001-05-14,53.55,53.89,53.33,53.86,5214600,25.84
2001-05-15,53.90,54.44,53.65,54.00,6144300,25.91
2001-05-16,53.55,55.28,53.55,54.90,6749400,26.34
2001-05-17,55.00,55.03,53.70,53.73,5926500,25.78
2001-05-18,53.95,54.30,53.73,54.16,3444900,25.99
2001-05-21,54.75,54.85,53.78,54.67,4913800,26.23
2001-05-22,54.65,54.65,54.07,54.43,3398900,26.11
2001-05-23,54.20,54.75,53.25,53.70,4846300,25.76
2001-05-24,54.00,54.34,53.34,53.92,6347900,25.87
2001-05-25,54.25,54.39,53.97,53.97,5186900,25.89
2001-05-29,54.25,54.95,53.87,54.53,4585100,26.16
2001-05-30,54.00,54.35,53.65,54.00,3777400,25.91
2001-05-31,54.00,54.88,53.76,54.85,5102600,26.32
2001-06-01,54.80,55.25,53.81,54.74,4536200,26.26
2001-06-04,55.35,55.79,54.75,55.40,5087300,26.58
2001-06-05,54.95,55.50,54.90,55.50,4506200,26.63
2001-06-06,55.70,55.70,54.13,54.43,5143700,26.11
