Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,37.44,39.56,37.31,39.19,2423100,32.89
2000-12-13,41.00,41.12,39.88,40.06,2035700,33.62
2000-12-14,41.00,41.00,39.81,40.44,1918200,33.94
2000-12-15,40.19,41.06,40.12,40.31,3115200,33.83
2000-12-18,40.69,41.00,39.00,39.75,1654400,33.36
2000-12-19,39.75,39.94,38.94,39.12,1772300,32.83
2000-12-20,38.62,41.00,38.44,40.50,3063900,33.99
2000-12-21,40.62,42.31,40.50,41.56,2619200,34.88
2000-12-22,41.19,41.75,39.88,41.06,2610400,34.46
2000-12-26,40.81,41.38,40.12,40.75,1000100,34.20
2000-12-27,40.75,41.94,40.50,41.38,1366300,34.72
2000-12-28,41.94,42.56,41.56,42.44,1271500,35.61
2000-12-29,42.88,42.88,41.69,41.81,1459700,35.09
2001-01-02,40.50,40.88,39.50,40.81,2900100,34.25
2001-01-03,40.81,40.81,38.25,39.25,5268100,32.94
2001-01-04,38.00,38.69,35.38,37.31,8586300,31.31
2001-01-05,37.31,38.12,36.62,38.00,2431400,31.89
2001-01-08,38.31,38.94,37.25,38.31,3379300,32.15
2001-01-09,38.12,38.50,37.31,37.75,2214300,31.68
2001-01-10,37.94,39.00,37.25,38.81,2685800,32.57
2001-01-11,39.19,39.19,36.56,37.25,3556100,31.26
2001-01-12,38.00,38.50,37.44,37.94,2552100,31.84
2001-01-16,38.50,39.00,38.25,38.62,1863100,32.41
2001-01-17,38.56,38.94,38.25,38.81,1970300,32.57
2001-01-18,38.12,38.75,38.00,38.31,2446000,32.15
2001-01-19,37.38,37.62,36.50,36.88,4392100,30.95
2001-01-22,35.88,38.25,35.88,38.25,3945100,32.10
2001-01-23,37.44,38.50,37.25,38.19,2878900,32.05
2001-01-24,37.62,38.69,37.62,38.56,2155100,32.36
2001-01-25,38.56,39.75,38.31,39.56,2076200,33.20
2001-01-26,39.69,39.88,39.06,39.31,1619700,32.99
2001-01-29,39.01,39.85,38.88,39.36,1232600,33.03
2001-01-30,39.61,40.05,39.40,40.01,1881400,33.58
2001-01-31,40.00,40.94,39.93,40.94,2478100,34.36
2001-02-01,41.12,41.99,40.73,41.95,2762100,35.20
2001-02-02,42.99,42.99,41.80,42.18,2653000,35.40
2001-02-05,42.18,42.34,40.92,41.09,1977400,34.48
2001-02-06,41.75,41.78,40.85,41.08,1970000,34.47
2001-02-07,41.33,42.90,41.17,42.85,1905200,35.96
2001-02-08,42.75,42.76,41.72,41.85,2122200,35.12
2001-02-09,41.85,42.34,41.29,41.42,1715400,34.76
2001-02-12,41.45,41.60,40.82,41.55,1389100,34.87
2001-02-13,40.90,42.00,40.65,42.00,1734300,35.25
2001-02-14,41.60,42.45,41.44,42.40,1658100,35.61
2001-02-15,41.65,42.60,41.56,42.60,1538300,35.78
2001-02-16,42.90,44.00,42.79,43.69,2989100,36.70
2001-02-20,43.02,44.50,43.01,43.95,3278100,36.91
2001-02-21,43.45,44.25,42.82,42.82,3562700,35.96
2001-02-22,42.83,43.34,42.10,42.85,3400400,35.99
2001-02-23,42.60,43.21,42.51,42.80,3030400,35.95
2001-02-26,42.90,44.18,42.61,44.03,2589100,36.98
2001-02-27,43.85,44.35,43.52,44.21,2548100,37.13
2001-02-28,44.46,45.00,43.50,44.32,3599200,37.22
2001-03-01,43.75,44.73,43.11,43.37,2506500,36.43
2001-03-02,43.25,44.50,43.06,44.33,1995000,37.23
2001-03-05,44.58,44.58,43.58,43.64,1885300,36.65
2001-03-06,43.50,43.90,43.25,43.87,3035200,36.85
2001-03-07,43.86,44.74,43.80,44.74,2820000,37.58
2001-03-08,44.80,45.29,44.67,45.27,3826400,38.02
2001-03-09,45.05,45.06,44.23,44.56,2059800,37.43
2001-03-12,44.52,44.85,44.07,44.21,2015500,37.13
2001-03-13,44.21,44.25,42.00,42.89,3673800,36.02
2001-03-14,41.25,43.25,41.18,42.22,2483800,35.46
2001-03-15,42.25,42.25,41.00,42.01,3182000,35.28
2001-03-16,41.76,42.15,41.26,41.54,3686900,34.89
2001-03-19,41.54,41.73,40.67,41.61,2307300,34.95
2001-03-20,40.80,42.05,40.80,41.00,2380800,34.44
2001-03-21,40.51,40.90,40.28,40.50,2921000,34.02
2001-03-22,40.39,40.39,38.56,39.63,4320500,33.29
2001-03-23,39.52,40.86,39.08,40.78,3507800,34.25
2001-03-26,40.55,40.62,38.56,39.56,5204000,33.23
2001-03-27,39.65,40.29,39.55,40.25,3427000,33.81
2001-03-28,39.75,40.50,39.63,40.23,2761800,33.79
2001-03-29,40.23,40.65,39.30,40.30,2210900,33.85
2001-03-30,40.70,40.99,40.25,40.80,2672800,34.27
2001-04-02,40.70,40.84,40.25,40.68,2108600,34.17
2001-04-03,40.33,40.49,39.72,40.00,3782700,33.60
2001-04-04,39.75,40.40,39.26,39.96,3351600,33.56
2001-04-05,40.45,40.45,39.55,40.10,2373300,33.68
2001-04-06,40.10,40.23,39.47,39.95,1897400,33.55
2001-04-09,40.20,40.35,38.80,39.12,1928700,32.86
2001-04-10,39.12,40.70,37.13,40.11,1869200,33.69
2001-04-11,39.86,40.30,38.96,39.41,3400200,33.10
2001-04-12,39.80,40.23,39.51,40.00,2033000,33.60
2001-04-16,40.00,40.35,39.62,40.05,1286900,33.64
2001-04-17,40.00,40.79,39.70,40.66,2242000,34.15
2001-04-18,40.75,41.20,39.93,40.45,3493200,33.97
2001-04-19,40.45,41.27,39.90,41.05,3073100,34.48
2001-04-20,40.75,41.05,40.51,40.96,2940800,34.40
2001-04-23,41.37,41.40,40.77,41.15,1723000,34.56
2001-04-24,41.39,41.39,41.00,41.10,2049900,34.52
2001-04-25,41.00,41.54,40.75,41.27,1760300,34.66
2001-04-26,41.25,42.35,41.05,41.86,2000900,35.16
2001-04-27,41.86,43.09,41.86,42.95,1724300,36.07
2001-04-30,43.40,43.44,42.60,42.78,2251500,35.93
2001-05-01,42.65,44.30,42.62,44.30,2910100,37.21
2001-05-02,44.20,44.21,42.83,42.98,3499600,36.10
2001-05-03,42.91,43.03,42.06,42.42,1886500,35.63
2001-05-04,42.65,42.80,41.80,42.75,1355900,35.91
2001-05-07,42.60,42.88,41.54,41.75,1714000,35.07
2001-05-08,41.89,41.94,40.85,41.32,2331900,34.70
2001-05-09,41.00,41.79,40.95,41.58,1785600,34.92
2001-05-10,41.62,41.63,39.70,41.08,3886400,34.50
2001-05-11,40.75,41.53,40.05,40.39,1969600,33.92
2001-05-14,40.39,41.00,39.92,41.00,1736900,34.44
2001-05-15,40.75,40.90,40.01,40.40,1928100,33.93
2001-05-16,40.16,40.59,39.99,40.48,2529400,34.03
2001-05-17,40.48,40.90,40.06,40.59,2245500,34.12
2001-05-18,40.34,40.77,40.17,40.72,2565200,34.23
2001-05-21,40.99,41.22,40.55,41.19,1836100,34.63
2001-05-22,41.10,41.30,40.59,40.73,2352200,34.24
2001-05-23,40.70,41.15,40.25,40.35,2241200,33.92
2001-05-24,40.35,40.79,40.18,40.29,2568900,33.87
2001-05-25,40.27,41.00,40.27,40.49,1504600,34.04
2001-05-29,39.50,40.00,39.36,39.73,3604900,33.40
2001-05-30,39.55,40.34,39.51,40.15,2626100,33.75
2001-05-31,39.85,40.74,39.85,40.19,2132400,33.79
2001-06-01,39.94,40.13,39.71,40.01,1360600,33.63
2001-06-04,39.60,40.28,39.56,40.28,1672200,33.86
2001-06-05,40.20,40.64,39.99,40.60,1870000,34.13
2001-06-06,40.10,40.99,40.10,40.75,1612100,34.26
2001-06-07,40.95,40.99,40.72,40.89,1365300,34.37
2001-06-08,40.88,40.97,40.71,40.75,991400,34.26
2001-06-11,40.76,40.85,40.05,40.32,2170300,33.89
2001-06-12,39.95,40.84,39.95,40.70,1820600,34.21
2001-06-13,40.71,41.08,40.60,41.00,2182800,34.47
2001-06-14,41.00,41.40,40.80,41.15,1622800,34.59
2001-06-15,40.00,40.65,39.66,40.10,6809500,33.71
2001-06-18,40.89,41.86,40.60,41.48,4047400,34.87
2001-06-19,41.60,41.99,41.02,41.85,1783300,35.18
2001-06-20,41.98,42.40,41.56,41.81,2131600,35.15
2001-06-21,41.56,41.91,41.42,41.85,2656400,35.18
2001-06-22,41.70,41.71,40.74,41.01,1769500,34.47
2001-06-25,38.00,38.01,36.31,37.25,11787400,31.31
2001-06-26,36.75,37.75,35.95,36.80,5454900,30.94
2001-06-27,36.25,36.26,34.80,35.04,13467100,29.46
2001-06-28,35.00,35.11,34.50,34.86,6657100,29.30
2001-06-29,34.86,35.14,34.11,34.46,4597700,28.97
2001-07-02,34.05,34.38,33.87,34.00,4605500,28.58
2001-07-03,33.65,34.10,33.35,34.10,4070500,28.67
2001-07-05,34.00,34.50,33.72,34.25,3852400,28.79
2001-07-06,34.00,35.02,33.90,34.01,3568500,28.59
2001-07-09,34.01,34.15,33.36,33.94,3479500,28.53
2001-07-10,33.40,33.57,32.53,33.09,6140600,27.82
2001-07-11,32.63,33.15,32.15,32.40,3240700,27.24
2001-07-12,32.00,32.14,31.74,31.99,7471800,26.89
2001-07-13,32.00,32.00,31.65,31.89,2690000,26.81
2001-07-16,31.76,31.90,31.25,31.43,3574600,26.42
2001-07-17,31.20,31.55,31.00,31.54,3891200,26.51
2001-07-18,31.89,32.42,31.75,31.99,3342300,26.89
2001-07-19,32.40,33.33,32.26,32.85,3600100,27.61
2001-07-20,32.84,33.70,32.74,33.44,2147900,28.11
2001-07-23,33.15,33.39,32.65,32.75,1912300,27.53
2001-07-24,33.25,33.93,33.06,33.24,2867600,27.94
2001-07-25,33.70,33.70,32.61,33.15,2278900,27.87
2001-07-26,32.90,33.52,32.46,33.10,3212100,27.83
2001-07-27,33.10,33.50,32.75,33.25,1969400,27.95
2001-07-30,33.50,33.80,33.25,33.52,1997300,28.18
2001-07-31,33.77,34.45,33.59,33.70,2844600,28.33
2001-08-01,33.50,33.51,33.01,33.35,2525900,28.04
2001-08-02,35.00,35.99,34.71,35.57,5353500,29.90
2001-08-03,35.75,35.96,35.35,35.90,2933000,30.18
2001-08-06,35.93,36.25,35.69,35.74,2411300,30.04
2001-08-07,35.70,36.08,35.20,36.00,2456500,30.26
2001-08-08,35.75,36.50,35.52,35.91,2562800,30.19
2001-08-09,36.64,37.00,36.19,36.97,2824400,31.08
2001-08-10,36.95,37.49,36.14,37.32,2605000,31.37
2001-08-13,37.32,37.45,36.41,36.72,2333000,30.87
2001-08-14,36.89,36.95,36.00,36.09,2914200,30.34
2001-08-15,36.39,36.49,35.90,36.47,3371700,30.69
2001-08-16,36.25,36.49,36.00,36.41,1944400,30.64
2001-08-17,36.10,36.28,35.77,36.01,1733100,30.30
2001-08-20,36.02,36.73,36.01,36.70,1697000,30.88
2001-08-21,36.58,36.65,35.41,35.50,2368000,29.87
2001-08-22,35.50,36.22,34.90,35.90,2971100,30.21
2001-08-23,35.55,35.97,35.10,35.20,2643300,29.62
2001-08-24,35.45,36.51,35.20,36.25,1434500,30.50
2001-08-27,35.97,36.03,35.20,35.31,1700800,29.71
2001-08-28,35.27,35.50,35.22,35.25,1148700,29.66
2001-08-29,35.25,35.38,34.76,34.88,1818000,29.35
2001-08-30,35.00,35.75,34.75,34.86,2126000,29.33
2001-08-31,34.86,35.18,34.21,34.35,1974200,28.90
2001-09-04,34.10,35.39,34.10,34.99,2727900,29.44
2001-09-05,35.45,35.95,35.20,35.48,4508200,29.85
2001-09-06,35.48,35.51,34.57,34.95,2243700,29.41
2001-09-07,35.09,35.22,34.34,34.57,3974000,29.09
2001-09-10,33.85,34.44,33.46,34.25,2210900,28.82
2001-09-17,33.10,33.83,32.55,32.76,5219300,27.57
2001-09-18,32.85,33.40,32.51,33.00,2569000,27.77
