Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,50.00,50.00,49.25,49.94,9119000,17.25
2000-12-13,50.00,50.56,49.56,50.00,6930000,17.27
2000-12-14,49.50,50.00,48.62,49.88,7244000,17.23
2000-12-15,49.88,50.56,49.56,50.44,22609400,17.42
2000-12-18,51.25,52.94,51.06,52.69,15455200,18.20
2000-12-19,52.75,53.81,52.31,52.81,15054400,18.24
2000-12-20,52.06,53.31,51.44,52.94,10098600,18.29
2000-12-21,53.25,53.50,52.19,52.94,13507000,18.29
2000-12-22,53.19,54.31,53.06,53.94,10058800,18.63
2000-12-26,53.94,55.00,53.69,54.94,5180000,18.98
2000-12-27,55.00,55.31,54.50,55.31,5982200,19.11
2000-12-28,55.31,56.12,54.94,55.75,5018000,19.26
2000-12-29,56.19,56.38,55.44,55.69,6043000,19.24
2001-01-02,54.44,54.81,53.38,53.94,10616400,18.63
2001-01-03,52.88,54.00,50.00,53.12,25444200,18.35
2001-01-04,52.12,53.31,50.69,52.00,17224200,17.96
2001-01-05,51.31,52.62,49.94,52.38,14437000,18.09
2001-01-08,51.62,52.62,51.44,51.88,9123600,17.92
2001-01-09,51.56,52.31,49.25,49.44,11326800,17.08
2001-01-10,47.81,49.62,47.69,48.69,15362600,16.82
2001-01-11,49.50,50.56,48.88,49.25,11738200,17.01
2001-01-12,50.06,50.06,48.19,48.69,8525000,16.82
2001-01-16,48.75,50.19,47.75,49.94,14995200,17.25
2001-01-17,50.62,50.81,49.38,49.38,9124200,17.06
2001-01-18,49.75,49.75,48.31,48.44,8346600,16.73
2001-01-19,48.50,49.62,48.06,49.06,9148400,16.95
2001-01-22,49.06,50.12,48.62,49.62,6294200,17.14
2001-01-23,49.69,50.44,49.31,49.62,9064800,17.14
2001-01-24,49.94,50.75,49.50,50.19,7102800,17.34
2001-01-25,50.25,50.88,49.69,50.62,10620000,17.49
2001-01-26,51.06,51.88,50.56,51.50,9104000,17.79
2001-01-29,51.75,52.28,50.65,51.13,7106200,17.66
2001-01-30,51.62,52.10,50.61,51.91,8707400,17.93
2001-01-31,51.45,51.80,50.70,51.51,6828200,17.88
2001-02-01,51.05,51.88,49.75,50.40,9373200,17.49
2001-02-02,49.95,50.60,49.85,50.24,5189000,17.43
2001-02-05,50.88,51.51,50.45,51.36,5201000,17.82
2001-02-06,50.76,51.18,50.27,50.89,5214800,17.66
2001-02-07,50.90,51.52,50.50,50.74,4983400,17.61
2001-02-08,50.95,51.54,50.93,51.10,6306200,17.73
2001-02-09,51.10,51.20,50.25,50.67,6213800,17.58
2001-02-12,51.17,51.46,50.60,50.80,5967400,17.63
2001-02-13,50.85,50.99,49.75,49.99,7284400,17.35
2001-02-14,50.55,50.98,49.95,50.28,4532600,17.45
2001-02-15,50.35,50.62,49.60,49.71,4475400,17.25
2001-02-16,49.70,50.70,49.60,50.11,6796000,17.39
2001-02-20,50.55,50.56,48.45,48.68,7583000,16.89
2001-02-21,48.68,49.20,47.80,48.02,7599000,16.66
2001-02-22,48.10,48.40,46.42,48.15,9636600,16.71
2001-02-23,48.03,48.60,46.85,48.47,6664400,16.82
2001-02-26,48.47,49.68,47.78,49.58,7720200,17.21
2001-02-27,49.58,50.33,49.16,50.07,7209600,17.38
2001-02-28,50.58,50.58,49.03,49.64,7045400,17.23
2001-03-01,49.64,49.77,48.58,49.56,8979600,17.20
2001-03-02,49.70,50.49,49.40,50.17,6782000,17.41
2001-03-05,49.92,50.12,48.75,49.83,5492800,17.29
2001-03-06,50.50,50.72,48.74,49.47,7346400,17.17
2001-03-07,49.47,51.24,49.40,51.24,9027400,17.78
2001-03-08,51.24,51.71,50.25,51.71,6455400,17.94
2001-03-09,51.00,51.00,49.70,50.49,5289800,17.52
2001-03-12,49.85,49.99,47.70,47.80,7622400,16.59
2001-03-13,48.65,49.54,47.64,49.45,8839000,17.16
2001-03-14,48.11,48.35,46.12,46.56,13686400,16.16
2001-03-15,46.92,48.89,46.61,48.72,8754200,16.91
2001-03-16,47.80,48.52,47.50,47.89,11874600,16.62
2001-03-19,47.61,48.34,46.87,48.03,7919800,16.67
2001-03-20,47.80,48.15,46.76,46.85,7481200,16.26
2001-03-21,46.85,47.12,45.30,45.42,9634200,15.76
2001-03-22,45.30,45.50,42.55,44.00,13750400,15.27
2001-03-23,43.52,45.61,43.32,45.43,11197200,15.77
2001-03-26,45.98,46.83,45.85,46.20,7449800,16.03
2001-03-27,46.59,48.75,45.88,48.59,10969800,16.86
2001-03-28,48.50,48.88,47.74,48.66,7249800,16.89
2001-03-29,48.00,48.42,47.76,48.03,7696600,16.67
2001-03-30,48.50,49.47,48.17,49.47,9081600,17.17
2001-04-02,49.49,50.16,49.12,49.69,10105000,17.24
2001-04-03,50.00,50.00,48.27,48.95,10468600,16.99
2001-04-04,48.42,48.70,45.03,45.99,23293200,15.96
2001-04-05,46.65,47.64,46.58,47.63,13356400,16.53
2001-04-06,47.35,47.88,44.94,46.25,18965400,16.05
2001-04-09,47.01,47.01,45.30,45.96,10633800,15.95
2001-04-10,46.50,47.70,46.40,47.24,12543600,16.39
2001-04-11,48.13,48.13,46.90,46.90,8601200,16.28
2001-04-12,47.23,48.40,46.70,47.77,9682800,16.58
2001-04-16,48.40,48.74,46.48,47.15,8370400,16.36
2001-04-17,46.90,46.90,45.09,45.70,13214200,15.86
2001-04-18,45.70,48.80,45.25,47.60,17955400,16.52
2001-04-19,47.35,48.23,47.25,47.97,10824200,16.65
2001-04-20,47.97,48.15,47.08,47.93,7679600,16.63
2001-04-23,47.93,47.93,46.95,47.55,5536400,16.50
2001-04-24,47.85,48.31,47.15,47.90,6943200,16.62
2001-04-25,47.43,47.52,46.71,47.05,6480600,16.33
2001-04-26,47.01,47.25,45.96,46.13,11525200,16.01
2001-04-27,46.90,47.83,46.71,47.82,8284200,16.59
2001-04-30,47.97,48.15,46.75,46.97,9137200,16.30
2001-05-01,46.99,47.34,46.57,47.34,5564200,16.43
2001-05-02,46.70,47.93,46.52,47.60,7599600,16.60
2001-05-03,47.15,47.61,46.79,47.45,6950400,16.55
2001-05-04,46.55,47.43,46.55,47.30,7003200,16.50
2001-05-07,47.54,47.54,46.80,47.34,5607400,16.51
2001-05-08,47.50,47.52,46.41,46.48,6982600,16.21
2001-05-09,46.28,46.64,45.76,46.00,7697600,16.04
2001-05-10,46.40,46.60,45.64,45.92,9582000,16.02
2001-05-11,46.47,46.47,45.39,45.50,6646000,15.87
2001-05-14,45.50,45.94,45.43,45.60,6260000,15.90
2001-05-15,45.61,45.74,45.00,45.18,9133200,15.76
2001-05-16,45.23,46.00,44.55,45.70,14915000,15.94
2001-05-17,45.40,46.20,45.26,45.41,11077600,15.84
2001-05-18,45.41,46.26,45.25,45.98,7878600,16.04
2001-05-21,45.90,46.23,45.65,46.20,7747800,16.11
2001-05-22,46.00,47.73,45.92,47.20,9575000,16.46
2001-05-23,47.57,47.99,47.16,47.94,10593400,16.72
2001-05-24,47.80,48.20,47.67,47.80,7135000,16.67
2001-05-25,48.05,48.05,46.83,46.87,4358000,16.35
2001-05-29,47.28,47.35,46.69,46.76,5863000,16.31
2001-05-30,46.76,47.54,46.61,46.70,5305800,16.29
2001-05-31,46.60,47.08,46.22,47.08,5687200,16.42
2001-06-01,46.90,47.46,46.52,47.32,5162600,16.50
2001-06-04,47.32,48.49,47.07,48.35,5919800,16.86
2001-06-05,48.73,48.90,48.17,48.77,6752000,17.01
2001-06-06,48.39,48.39,47.67,47.84,4745200,16.69
