,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,1.04,,,,,
1,2000-12-13,1.02,,,,,
2,2000-12-14,0.98,,,,,
3,2000-12-15,0.96,,,,,
4,2000-12-18,0.97,,,,,
5,2000-12-19,0.95,,,,,
6,2000-12-20,0.98,,,,,
7,2000-12-21,0.96,,,,,
8,2000-12-22,1.02,,,,,
9,2000-12-26,1.0,,,,,
10,2000-12-27,1.01,,,,,
11,2000-12-28,1.01,0.9917,,,,
12,2000-12-29,1.01,0.9892,,,,
13,2001-01-02,1.01,0.9883,,,,
14,2001-01-03,1.11,0.9992,,,,
15,2001-01-04,1.16,1.0158,,,,
16,2001-01-05,1.11,1.0275,,,,
17,2001-01-08,1.13,1.0425,,,,
18,2001-01-09,1.17,1.0583,,,,
19,2001-01-10,1.13,1.0725,,,,
20,2001-01-11,1.22,1.0892,,,,
21,2001-01-12,1.17,1.1033,,,,
22,2001-01-16,1.16,1.1158,,,,
23,2001-01-17,1.14,1.1267,,,,
24,2001-01-18,1.27,1.1483,,,,
25,2001-01-19,1.32,1.1742,1.0773,,,
26,2001-01-22,1.31,1.1908,1.0877,0.1031,,1.0
27,2001-01-23,1.39,1.21,1.1019,0.1081,,1.0
28,2001-01-24,1.39,1.2333,1.1177,0.1156,,1.0
29,2001-01-25,1.35,1.2517,1.1327,0.119,,1.0
30,2001-01-26,1.33,1.265,1.1465,0.1185,,1.0
31,2001-01-29,1.47,1.2933,1.1665,0.1268,,1.0
32,2001-01-30,1.48,1.315,1.1858,0.1292,,1.0
33,2001-01-31,1.47,1.34,1.2054,0.1346,,1.0
34,2001-02-01,1.44,1.3633,1.2215,0.1418,0.1219,1.0
35,2001-02-02,1.4,1.385,1.2369,0.1481,0.1269,1.0
36,2001-02-05,1.37,1.3933,1.2508,0.1425,0.1307,1.0
37,2001-02-06,1.44,1.4033,1.2673,0.136,0.1329,1.0
38,2001-02-07,1.41,1.4117,1.2827,0.129,0.1341,1.0
39,2001-02-08,1.41,1.4133,1.2981,0.1152,0.1337,1.0
40,2001-02-09,1.3,1.4058,1.3054,0.1004,0.1308,1.0
41,2001-02-12,1.34,1.405,1.3123,0.0927,0.1267,1.0
42,2001-02-13,1.3,1.4025,1.3196,0.0829,0.121,1.0
43,2001-02-14,1.32,1.39,1.3269,0.0631,0.1122,1.0
44,2001-02-15,1.36,1.38,1.3342,0.0458,0.1008,1.0
45,2001-02-16,1.29,1.365,1.3404,0.0246,0.0877,1.0
46,2001-02-20,1.24,1.3483,1.3412,0.0071,0.0734,1.0
47,2001-02-21,1.28,1.3383,1.3454,-0.0071,0.0583,0.0
48,2001-02-22,1.28,1.3308,1.35,-0.0192,0.0434,0.0
49,2001-02-23,1.28,1.3175,1.3554,-0.0379,0.028,0.0
50,2001-02-26,1.32,1.31,1.3573,-0.0473,0.0124,0.0
51,2001-02-27,1.32,1.3025,1.3573,-0.0548,-0.0029,0.0
52,2001-02-28,1.24,1.2975,1.3546,-0.0571,-0.0162,0.0
53,2001-03-01,1.27,1.2917,1.35,-0.0583,-0.0278,0.0
54,2001-03-02,1.31,1.2925,1.3469,-0.0544,-0.0366,0.0
55,2001-03-05,1.38,1.2975,1.3481,-0.0506,-0.043,0.0
56,2001-03-06,1.46,1.3058,1.3531,-0.0473,-0.0474,0.0
57,2001-03-07,1.44,1.3183,1.3519,-0.0336,-0.049,0.0
58,2001-03-08,1.41,1.3325,1.3492,-0.0167,-0.0467,0.0
59,2001-03-09,1.38,1.3408,1.3458,-0.005,-0.042,0.0
60,2001-03-12,1.27,1.34,1.3392,0.0008,-0.0358,1.0
61,2001-03-13,1.33,1.3442,1.3365,0.0077,-0.0286,1.0
62,2001-03-14,1.39,1.35,1.3373,0.0127,-0.0207,1.0
63,2001-03-15,1.34,1.3517,1.3335,0.0182,-0.0126,1.0
64,2001-03-16,1.33,1.3592,1.3304,0.0288,-0.0038,1.0
65,2001-03-19,1.4,1.37,1.33,0.04,0.0059,1.0
66,2001-03-20,1.34,1.3725,1.3315,0.041,0.0142,1.0
67,2001-03-21,1.37,1.3717,1.3327,0.039,0.0204,1.0
68,2001-03-22,1.47,1.3725,1.3392,0.0333,0.0246,1.0
69,2001-03-23,1.56,1.3825,1.3485,0.034,0.0283,1.0
70,2001-03-26,1.48,1.3883,1.3531,0.0352,0.0314,1.0
71,2001-03-27,1.55,1.4025,1.3631,0.0394,0.0343,1.0
72,2001-03-28,1.51,1.4225,1.3735,0.049,0.0377,1.0
73,2001-03-29,1.53,1.4392,1.3831,0.0561,0.0408,1.0
74,2001-03-30,1.5,1.4483,1.3915,0.0568,0.0426,1.0
75,2001-04-02,1.47,1.4592,1.3988,0.0604,0.0448,1.0
76,2001-04-03,1.37,1.4625,1.4008,0.0617,0.0473,1.0
77,2001-04-04,1.32,1.4558,1.4008,0.055,0.0497,1.0
78,2001-04-05,1.42,1.4625,1.4077,0.0548,0.052,1.0
79,2001-04-06,1.4,1.465,1.4127,0.0523,0.0539,1.0
80,2001-04-09,1.4,1.4592,1.4162,0.043,0.0543,1.0
81,2001-04-10,1.5,1.4542,1.4208,0.0334,0.0526,1.0
82,2001-04-11,1.48,1.4542,1.4215,0.0327,0.05,1.0
83,2001-04-12,1.52,1.4517,1.4246,0.0271,0.0467,1.0
84,2001-04-16,1.46,1.4475,1.4265,0.021,0.0423,1.0
85,2001-04-17,1.39,1.4358,1.4269,0.0089,0.0365,1.0
86,2001-04-18,1.55,1.44,1.4377,0.0023,0.0306,1.0
87,2001-04-19,1.75,1.4633,1.4538,0.0095,0.0256,1.0
88,2001-04-20,1.7,1.4908,1.4658,0.025,0.0225,1.0
89,2001-04-23,1.65,1.5183,1.4777,0.0406,0.0223,1.0
90,2001-04-24,1.63,1.5358,1.4892,0.0466,0.0237,1.0
91,2001-04-25,1.68,1.5592,1.5,0.0592,0.0267,1.0
92,2001-04-26,1.68,1.5825,1.5131,0.0694,0.0314,1.0
93,2001-04-27,1.78,1.6058,1.5288,0.077,0.0376,1.0
94,2001-04-30,1.73,1.6267,1.5388,0.0879,0.0464,1.0
95,2001-05-01,1.76,1.6467,1.5465,0.1002,0.0573,1.0
96,2001-05-02,1.81,1.6758,1.5592,0.1166,0.0692,1.0
97,2001-05-03,1.7,1.7017,1.565,0.1367,0.0816,1.0
98,2001-05-04,1.75,1.7183,1.5742,0.1441,0.0931,1.0
99,2001-05-07,1.7,1.7142,1.5808,0.1334,0.1027,1.0
100,2001-05-08,1.67,1.7117,1.5873,0.1244,0.11,1.0
101,2001-05-09,1.63,1.71,1.5935,0.1165,0.1152,1.0
102,2001-05-10,1.56,1.7042,1.6008,0.1034,0.1181,1.0
103,2001-05-11,1.55,1.6933,1.6096,0.0837,0.1177,1.0
104,2001-05-14,1.58,1.685,1.6158,0.0692,0.1142,1.0
105,2001-05-15,1.57,1.6675,1.6223,0.0452,0.1063,1.0
106,2001-05-16,1.64,1.66,1.6315,0.0285,0.0943,1.0
107,2001-05-17,1.6,1.6467,1.6354,0.0113,0.0795,1.0
108,2001-05-18,1.6,1.6292,1.64,-0.0108,0.0635,0.0
109,2001-05-21,1.6,1.6208,1.6431,-0.0223,0.0472,0.0
110,2001-05-22,1.6,1.6083,1.6485,-0.0402,0.0298,0.0
111,2001-05-23,1.58,1.5983,1.6558,-0.0575,0.0119,0.0
112,2001-05-24,1.58,1.5908,1.6569,-0.0661,-0.0047,0.0
113,2001-05-25,1.55,1.5842,1.6492,-0.065,-0.0197,0.0
114,2001-05-29,1.46,1.5758,1.64,-0.0642,-0.0318,0.0
115,2001-05-30,1.34,1.5583,1.6281,-0.0698,-0.0427,0.0
116,2001-05-31,1.36,1.54,1.6177,-0.0777,-0.0526,0.0
117,2001-06-01,1.42,1.5275,1.6077,-0.0802,-0.0603,0.0
118,2001-06-04,1.4,1.5075,1.5969,-0.0894,-0.0678,0.0
119,2001-06-05,1.42,1.4925,1.5831,-0.0906,-0.0734,0.0
120,2001-06-06,1.41,1.4767,1.5708,-0.0941,-0.0775,0.0
121,2001-06-07,1.47,1.4658,1.5596,-0.0938,-0.0805,0.0
122,2001-06-08,1.45,1.4533,1.5458,-0.0925,-0.0836,0.0
123,2001-06-11,1.36,1.435,1.5327,-0.0977,-0.0873,0.0
124,2001-06-12,1.38,1.4183,1.5185,-0.1002,-0.0907,0.0
125,2001-06-13,1.39,1.405,1.5065,-0.1015,-0.0933,0.0
126,2001-06-14,1.35,1.3958,1.4942,-0.0984,-0.0954,0.0
127,2001-06-15,1.39,1.4,1.485,-0.085,-0.0949,0.0
