,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2013-01-02,32.71,,,,,
1,2013-01-03,32.44,,,,,
2,2013-01-04,32.03,,,,,
3,2013-01-07,32.1,,,,,
4,2013-01-08,31.4,,,,,
5,2013-01-09,31.58,,,,,
6,2013-01-10,31.67,,,,,
7,2013-01-11,31.91,,,,,
8,2013-01-14,32.13,,,,,
9,2013-01-15,32.61,,,,,
10,2013-01-16,33.5,,,,,
11,2013-01-17,34.33,32.3675,,,,
12,2013-01-18,35.18,32.5733,,,,
13,2013-01-22,34.33,32.7308,,,,
14,2013-01-23,35.63,33.0308,,,,
15,2013-01-24,35.31,33.2983,,,,
16,2013-01-25,35.44,33.635,,,,
17,2013-01-28,34.77,33.9008,,,,
18,2013-01-29,35.17,34.1925,,,,
19,2013-01-30,34.81,34.4342,,,,
20,2013-01-31,34.58,34.6383,,,,
21,2013-02-01,35.05,34.8417,,,,
22,2013-02-04,35.14,34.9783,,,,
23,2013-02-05,35.06,35.0392,,,,
24,2013-02-06,35.01,35.025,,,,
25,2013-02-07,34.33,35.025,33.7777,,,
26,2013-02-08,34.17,34.9033,33.8338,1.0695,,1.0
27,2013-02-11,33.79,34.7767,33.8858,0.8909,,1.0
28,2013-02-12,33.39,34.6058,33.9381,0.6677,,1.0
29,2013-02-13,33.25,34.4792,33.9823,0.4969,,1.0
30,2013-02-14,34.47,34.4208,34.1004,0.3204,,1.0
31,2013-02-15,35.42,34.4717,34.2481,0.2236,,1.0
32,2013-02-19,36.0,34.59,34.4146,0.1754,,1.0
33,2013-02-20,36.39,34.7017,34.5869,0.1148,,1.0
34,2013-02-21,36.55,34.8192,34.7569,0.0623,0.4468,1.0
35,2013-02-22,36.25,34.9183,34.8969,0.0214,0.3304,1.0
36,2013-02-25,35.22,34.9358,34.9631,-0.0273,0.2284,0.0
37,2013-02-26,34.96,34.9883,34.9873,0.001,0.1543,1.0
38,2013-02-27,34.62,35.0258,34.9658,0.06,0.1057,1.0
39,2013-02-28,34.8,35.11,34.9838,0.1262,0.0842,1.0
40,2013-03-01,35.64,35.2975,34.9842,0.3133,0.0941,1.0
41,2013-03-04,36.04,35.53,35.0123,0.5177,0.1322,1.0
42,2013-03-05,35.36,35.6042,35.0092,0.595,0.1855,1.0
43,2013-03-06,35.57,35.6167,35.04,0.5767,0.2427,1.0
44,2013-03-07,35.34,35.5617,35.0465,0.5152,0.2975,1.0
45,2013-03-08,35.2,35.4625,35.0615,0.401,0.3451,1.0
46,2013-03-11,35.51,35.3758,35.0973,0.2785,0.376,1.0
47,2013-03-12,35.04,35.275,35.0969,0.1781,0.3891,1.0
48,2013-03-13,35.04,35.26,35.0931,0.1669,0.3936,1.0
49,2013-03-14,35.4,35.2967,35.1062,0.1905,0.38,1.0
50,2013-03-15,36.29,35.4358,35.1554,0.2804,0.3536,1.0
51,2013-03-18,35.97,35.5333,35.2185,0.3148,0.3225,1.0
52,2013-03-19,36.16,35.5767,35.295,0.2817,0.2897,1.0
53,2013-03-20,36.82,35.6417,35.4115,0.2302,0.258,1.0
54,2013-03-21,36.28,35.7183,35.5227,0.1956,0.2352,1.0
55,2013-03-22,36.73,35.815,35.6565,0.1585,0.2219,1.0
56,2013-03-25,37.06,35.9583,35.7562,0.2021,0.2245,1.0
57,2013-03-26,37.9,36.1833,35.8515,0.3318,0.2428,1.0
58,2013-03-27,37.85,36.3783,35.9227,0.4556,0.2723,1.0
59,2013-03-28,38.44,36.6617,36.0015,0.6602,0.3145,1.0
60,2013-04-01,38.76,36.9717,36.0865,0.8852,0.3779,1.0
61,2013-04-02,38.37,37.2192,36.1681,1.0511,0.4634,1.0
62,2013-04-03,38.24,37.3817,36.2842,1.0975,0.5597,1.0
63,2013-04-04,39.21,37.6517,36.4477,1.204,0.6718,1.0
64,2013-04-05,38.94,37.8833,36.6138,1.2695,0.7952,1.0
65,2013-04-08,39.37,38.0958,36.7896,1.3062,0.9179,1.0
66,2013-04-09,40.11,38.415,36.9615,1.4535,1.0425,1.0
67,2013-04-10,41.12,38.7808,37.1569,1.6239,1.1723,1.0
68,2013-04-11,41.1,39.1175,37.3777,1.7398,1.2923,1.0
69,2013-04-12,40.99,39.375,37.5862,1.7888,1.3927,1.0
70,2013-04-15,39.42,39.5058,37.7431,1.7627,1.4718,1.0
71,2013-04-16,40.38,39.6675,37.9423,1.7252,1.5415,1.0
72,2013-04-17,40.18,39.7858,38.1219,1.6639,1.5926,1.0
73,2013-04-18,40.26,39.9433,38.3227,1.6206,1.6316,1.0
74,2013-04-19,40.33,40.1175,38.5262,1.5913,1.6633,1.0
75,2013-04-22,42.05,40.3542,38.7819,1.5723,1.6765,1.0
76,2013-04-23,42.94,40.6875,39.0377,1.6498,1.6794,1.0
77,2013-04-24,42.16,40.92,39.2758,1.6442,1.6688,1.0
78,2013-04-25,42.09,41.085,39.5038,1.5812,1.6457,1.0
79,2013-04-26,43.61,41.2925,39.765,1.5275,1.6196,1.0
80,2013-04-29,43.03,41.4533,40.0246,1.4287,1.5866,1.0
81,2013-04-30,43.81,41.6883,40.2969,1.3914,1.5563,1.0
82,2013-05-01,43.33,42.0142,40.5381,1.4761,1.5403,1.0
83,2013-05-02,41.85,42.1367,40.69,1.4467,1.5242,1.0
84,2013-05-03,42.5,42.33,40.8688,1.4612,1.5119,1.0
85,2013-05-06,42.42,42.51,41.0219,1.4881,1.4939,1.0
86,2013-05-07,42.72,42.7092,41.1742,1.535,1.4818,1.0
87,2013-05-08,41.37,42.6525,41.2896,1.3629,1.4575,1.0
88,2013-05-09,42.09,42.5817,41.4377,1.144,1.4149,1.0
89,2013-05-10,42.82,42.6367,41.5765,1.0602,1.374,1.0
90,2013-05-13,42.37,42.66,41.7085,0.9515,1.3251,1.0
91,2013-05-14,43.14,42.6208,41.8535,0.7673,1.2463,1.0
92,2013-05-15,43.79,42.6842,41.995,0.6892,1.1622,1.0
93,2013-05-16,43.96,42.6967,42.1042,0.5925,1.0656,1.0
94,2013-05-17,44.87,42.825,42.2492,0.5758,0.9643,1.0
95,2013-05-20,44.01,43.005,42.3654,0.6396,0.8648,1.0
96,2013-05-21,44.27,43.1525,42.5519,0.6006,0.7801,1.0
97,2013-05-22,44.48,43.3242,42.7096,0.6146,0.7213,1.0
98,2013-05-23,44.32,43.4575,42.8688,0.5887,0.6689,1.0
99,2013-05-24,43.23,43.6125,42.9831,0.6294,0.6331,1.0
100,2013-05-28,43.18,43.7033,43.0927,0.6106,0.6157,1.0
101,2013-05-29,41.74,43.6133,43.0808,0.5325,0.5983,1.0
102,2013-05-30,42.38,43.6142,43.0592,0.555,0.5941,1.0
103,2013-05-31,40.61,43.4033,42.9996,0.4037,0.575,1.0
104,2013-06-03,41.25,43.1917,42.9673,0.2244,0.5288,1.0
105,2013-06-04,41.51,42.9875,42.8865,0.101,0.4733,1.0
106,2013-06-05,40.94,42.66,42.8062,-0.1462,0.3888,0.0
107,2013-06-06,41.38,42.4408,42.7127,-0.2719,0.2932,0.0
108,2013-06-07,41.86,42.24,42.6562,-0.4162,0.177,0.0
109,2013-06-10,41.78,42.015,42.6535,-0.6385,0.0382,0.0
110,2013-06-11,41.47,41.7775,42.6138,-0.8363,-0.1139,0.0
111,2013-06-12,40.69,41.5658,42.5473,-0.9815,-0.2846,0.0
112,2013-06-13,41.05,41.3883,42.4831,-1.0948,-0.4511,0.0
113,2013-06-14,41.11,41.3358,42.4731,-1.1373,-0.6024,0.0
114,2013-06-17,40.92,41.2142,42.4281,-1.2139,-0.7485,0.0
115,2013-06-18,41.42,41.2817,42.3742,-1.0925,-0.8537,0.0
116,2013-06-19,40.94,41.2558,42.3192,-1.0634,-0.9416,0.0
117,2013-06-20,39.06,41.0517,42.1623,-1.1106,-1.0188,0.0
118,2013-06-21,40.55,41.0192,42.0377,-1.0185,-1.061,0.0
119,2013-06-24,39.85,40.8917,41.8796,-0.9879,-1.0778,0.0
120,2013-06-25,40.55,40.7825,41.7135,-0.931,-1.0722,0.0
121,2013-06-26,41.27,40.74,41.6081,-0.8681,-1.047,0.0
122,2013-06-27,41.03,40.7033,41.4835,-0.7802,-1.0073,0.0
123,2013-06-28,39.33,40.59,41.2854,-0.6954,-0.9497,0.0
124,2013-07-01,39.58,40.4675,41.1031,-0.6356,-0.899,0.0
125,2013-07-02,40.16,40.3883,40.985,-0.5967,-0.8471,0.0
126,2013-07-03,40.17,40.3258,40.8692,-0.5434,-0.7841,0.0
127,2013-07-05,40.64,40.2608,40.8269,-0.5661,-0.7338,0.0
128,2013-07-08,41.55,40.3117,40.795,-0.4833,-0.6778,0.0
129,2013-07-09,41.21,40.4908,40.8181,-0.3273,-0.6107,0.0
130,2013-07-10,41.77,40.5925,40.8381,-0.2456,-0.5415,0.0
131,2013-07-11,42.03,40.7742,40.8581,-0.0839,-0.4641,0.0
132,2013-07-12,43.25,40.9992,40.9469,0.0523,-0.3811,1.0
133,2013-07-15,42.84,41.13,41.0031,0.1269,-0.2963,1.0
134,2013-07-16,42.06,41.2158,41.0108,0.205,-0.2073,1.0
135,2013-07-17,42.2,41.455,41.0269,0.4281,-0.0993,1.0
136,2013-07-18,42.55,41.7025,41.0685,0.634,0.034,1.0
137,2013-07-19,42.74,41.9175,41.1473,0.7702,0.1733,1.0
138,2013-07-22,43.17,42.1675,41.2288,0.9387,0.314,1.0
139,2013-07-23,42.54,42.3258,41.2838,1.042,0.457,1.0
140,2013-07-24,41.9,42.355,41.3215,1.0335,0.5812,1.0
141,2013-07-25,42.47,42.46,41.3619,1.0981,0.6974,1.0
142,2013-07-26,43.0,42.5625,41.4412,1.1213,0.8079,1.0
143,2013-07-29,43.26,42.665,41.6027,1.0623,0.9031,1.0
144,2013-07-30,42.91,42.6367,41.6935,0.9432,0.9604,1.0
145,2013-07-31,43.66,42.705,41.84,0.865,0.986,1.0
146,2013-08-01,43.44,42.82,41.9512,0.8688,0.997,1.0
147,2013-08-02,43.51,42.9292,42.0373,0.8919,0.9918,1.0
148,2013-08-05,42.92,42.96,42.11,0.85,0.9705,1.0
149,2013-08-06,43.09,42.9892,42.2546,0.7346,0.9372,1.0
150,2013-08-07,42.79,42.9575,42.3781,0.5794,0.8796,1.0
151,2013-08-08,43.26,43.0175,42.4973,0.5202,0.8128,1.0
