,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,14.64,,,,,
1,2000-12-13,15.12,,,,,
2,2000-12-14,14.04,,,,,
3,2000-12-15,13.66,,,,,
4,2000-12-18,14.46,,,,,
5,2000-12-19,14.68,,,,,
6,2000-12-20,14.24,,,,,
7,2000-12-21,14.04,,,,,
8,2000-12-22,13.82,,,,,
9,2000-12-26,14.06,,,,,
10,2000-12-27,14.17,,,,,
11,2000-12-28,14.15,14.2567,,,,
12,2000-12-29,14.13,14.2142,,,,
13,2001-01-02,14.04,14.1242,,,,
14,2001-01-03,13.73,14.0983,,,,
15,2001-01-04,12.47,13.9992,,,,
16,2001-01-05,12.55,13.84,,,,
17,2001-01-08,12.42,13.6517,,,,
18,2001-01-09,12.69,13.5225,,,,
19,2001-01-10,12.47,13.3917,,,,
20,2001-01-11,12.33,13.2675,,,,
21,2001-01-12,12.77,13.16,,,,
22,2001-01-16,13.19,13.0783,,,,
23,2001-01-17,12.97,12.98,,,,
24,2001-01-18,13.21,12.9033,,,,
25,2001-01-19,12.91,12.8092,13.5754,,,
26,2001-01-22,12.95,12.7442,13.5104,-0.7662,,0.0
27,2001-01-23,12.9,12.78,13.425,-0.645,,0.0
28,2001-01-24,12.68,12.7908,13.3727,-0.5819,,0.0
29,2001-01-25,13.37,12.87,13.3615,-0.4915,,0.0
30,2001-01-26,13.54,12.9408,13.3262,-0.3854,,0.0
31,2001-01-29,13.32,13.0117,13.2738,-0.2621,,0.0
32,2001-01-30,13.2,13.0842,13.2338,-0.1496,,0.0
33,2001-01-31,13.15,13.1158,13.1996,-0.0838,,0.0
34,2001-02-01,13.48,13.14,13.1865,-0.0465,-0.3791,0.0
35,2001-02-02,13.34,13.1708,13.1588,0.012,-0.2926,1.0
36,2001-02-05,13.58,13.2017,13.1362,0.0655,-0.2137,1.0
37,2001-02-06,13.82,13.2775,13.1235,0.154,-0.1319,1.0
38,2001-02-07,13.94,13.36,13.1162,0.2438,-0.0502,1.0
39,2001-02-08,14.15,13.4642,13.1204,0.3438,0.0308,1.0
40,2001-02-09,14.18,13.5892,13.1377,0.4515,0.1101,1.0
41,2001-02-12,14.51,13.6842,13.2162,0.468,0.1787,1.0
42,2001-02-13,13.97,13.72,13.2708,0.4492,0.2379,1.0
43,2001-02-14,13.89,13.7675,13.3273,0.4402,0.292,1.0
44,2001-02-15,14.05,13.8383,13.3796,0.4587,0.3416,1.0
45,2001-02-16,14.21,13.9267,13.4465,0.4802,0.3877,1.0
46,2001-02-20,14.26,13.9917,13.5208,0.4709,0.4229,1.0
47,2001-02-21,14.65,14.1008,13.5931,0.5077,0.4522,1.0
48,2001-02-22,14.64,14.1892,13.6488,0.5404,0.4741,1.0
49,2001-02-23,14.33,14.2317,13.7012,0.5305,0.4829,1.0
50,2001-02-26,14.42,14.2717,13.7477,0.524,0.4891,1.0
51,2001-02-27,14.25,14.28,13.7992,0.4808,0.4926,1.0
52,2001-02-28,14.36,14.295,13.8535,0.4415,0.4927,1.0
53,2001-03-01,14.6,14.3025,13.9188,0.3837,0.4844,1.0
54,2001-03-02,14.56,14.3517,13.9912,0.3605,0.4711,1.0
55,2001-03-05,14.35,14.39,14.0288,0.3612,0.4589,1.0
56,2001-03-06,14.07,14.3917,14.0492,0.3425,0.4406,1.0
57,2001-03-07,13.81,14.3583,14.0681,0.2902,0.4128,1.0
58,2001-03-08,14.21,14.3542,14.1069,0.2473,0.3813,1.0
59,2001-03-09,14.0,14.3,14.1396,0.1604,0.3409,1.0
60,2001-03-12,13.83,14.2325,14.1531,0.0794,0.2963,1.0
61,2001-03-13,14.03,14.2075,14.1796,0.0279,0.2503,1.0
62,2001-03-14,13.56,14.1358,14.1788,-0.043,0.2029,0.0
63,2001-03-15,13.56,14.0783,14.1688,-0.0905,0.1528,0.0
64,2001-03-16,13.19,13.9808,14.14,-0.1592,0.095,0.0
65,2001-03-19,13.11,13.8567,14.1,-0.2433,0.0299,0.0
66,2001-03-20,12.69,13.7008,14.0427,-0.3419,-0.0403,0.0
67,2001-03-21,12.9,13.58,13.9808,-0.4008,-0.1123,0.0
68,2001-03-22,12.74,13.4692,13.9335,-0.4643,-0.1817,0.0
69,2001-03-23,12.74,13.38,13.8892,-0.5092,-0.2471,0.0
70,2001-03-26,12.97,13.2767,13.8477,-0.571,-0.3137,0.0
71,2001-03-27,13.12,13.2033,13.8058,-0.6025,-0.3759,0.0
72,2001-03-28,13.34,13.1625,13.7704,-0.6079,-0.4333,0.0
73,2001-03-29,13.63,13.1292,13.7312,-0.602,-0.4825,0.0
74,2001-03-30,13.83,13.1517,13.7,-0.5483,-0.5164,0.0
75,2001-04-02,13.6,13.155,13.6719,-0.5169,-0.5359,0.0
76,2001-04-03,13.16,13.1525,13.6235,-0.471,-0.5437,0.0
77,2001-04-04,13.31,13.1692,13.5873,-0.4181,-0.5385,0.0
78,2001-04-05,13.8,13.2617,13.5658,-0.3041,-0.5158,0.0
79,2001-04-06,13.86,13.3417,13.5373,-0.1956,-0.474,0.0
80,2001-04-09,14.19,13.4625,13.5231,-0.0606,-0.4138,0.0
81,2001-04-10,14.19,13.5833,13.5169,0.0664,-0.3389,1.0
82,2001-04-11,13.83,13.655,13.5077,0.1473,-0.2557,1.0
83,2001-04-12,13.44,13.6817,13.4935,0.1882,-0.1738,1.0
84,2001-04-16,13.7,13.7117,13.4738,0.2379,-0.09,1.0
85,2001-04-17,13.86,13.7308,13.4685,0.2623,-0.0085,1.0
86,2001-04-18,13.8,13.7283,13.4673,0.261,0.067,1.0
87,2001-04-19,13.46,13.7167,13.4454,0.2713,0.1309,1.0
88,2001-04-20,13.27,13.7258,13.4342,0.2916,0.185,1.0
89,2001-04-23,13.11,13.7092,13.4169,0.2923,0.2243,1.0
90,2001-04-24,13.08,13.6492,13.4127,0.2365,0.2432,1.0
91,2001-04-25,13.4,13.6108,13.4238,0.187,0.2476,1.0
92,2001-04-26,13.2,13.5283,13.4435,0.0848,0.2361,1.0
93,2001-04-27,13.53,13.4733,13.4677,0.0056,0.2103,1.0
94,2001-04-30,13.65,13.4583,13.5027,-0.0444,0.1762,0.0
95,2001-05-01,13.48,13.4617,13.5312,-0.0695,0.1395,0.0
96,2001-05-02,13.35,13.4325,13.5458,-0.1133,0.0967,0.0
97,2001-05-03,13.48,13.4008,13.5596,-0.1588,0.0467,0.0
98,2001-05-04,13.71,13.3933,13.5738,-0.1805,-0.0058,0.0
99,2001-05-07,13.83,13.4242,13.5815,-0.1573,-0.0496,0.0
100,2001-05-08,14.04,13.4883,13.5896,-0.1013,-0.0816,0.0
101,2001-05-09,14.23,13.5817,13.6138,-0.0321,-0.0946,0.0
102,2001-05-10,14.16,13.6717,13.6523,0.0194,-0.0931,1.0
103,2001-05-11,14.5,13.7633,13.6981,0.0652,-0.0809,1.0
104,2001-05-14,14.67,13.8858,13.7315,0.1543,-0.056,1.0
105,2001-05-15,15.16,14.0217,13.7815,0.2402,-0.0168,1.0
106,2001-05-16,15.84,14.2042,13.845,0.3592,0.0408,1.0
107,2001-05-17,15.81,14.3983,13.9073,0.491,0.1154,1.0
108,2001-05-18,15.61,14.5867,13.9758,0.6109,0.2008,1.0
109,2001-05-21,15.68,14.77,14.0619,0.7081,0.2907,1.0
110,2001-05-22,15.59,14.9267,14.1346,0.7921,0.3823,1.0
111,2001-05-23,15.57,15.0717,14.2004,0.8713,0.4769,1.0
112,2001-05-24,15.29,15.1758,14.2577,0.9181,0.5717,1.0
113,2001-05-25,15.13,15.2508,14.3219,0.9289,0.6578,1.0
114,2001-05-29,15.11,15.33,14.3927,0.9373,0.7352,1.0
115,2001-05-30,15.15,15.3842,14.4712,0.913,0.7967,1.0
116,2001-05-31,15.3,15.4367,14.5565,0.8802,0.84,1.0
117,2001-06-01,15.19,15.4392,14.6254,0.8138,0.8625,1.0
118,2001-06-04,15.26,15.3908,14.7046,0.6862,0.8601,1.0
119,2001-06-05,15.56,15.37,14.7827,0.5873,0.8373,1.0
120,2001-06-06,15.22,15.3375,14.8431,0.4944,0.7955,1.0
121,2001-06-07,15.2,15.2975,14.9092,0.3883,0.7366,1.0
122,2001-06-08,15.16,15.2617,14.9788,0.2829,0.6648,1.0
123,2001-06-11,14.83,15.2,15.0308,0.1692,0.5795,1.0
124,2001-06-12,14.93,15.17,15.0777,0.0923,0.4883,1.0
125,2001-06-13,14.95,15.155,15.1208,0.0342,0.3943,1.0
126,2001-06-14,14.86,15.1342,15.1523,-0.0181,0.3019,0.0
127,2001-06-15,14.88,15.1117,15.1773,-0.0656,0.2183,0.0
128,2001-06-18,15.04,15.09,15.2112,-0.1212,0.1396,0.0
129,2001-06-19,15.09,15.0817,15.2338,-0.1521,0.0678,0.0
130,2001-06-20,15.38,15.0917,15.2612,-0.1695,0.0058,0.0
131,2001-06-21,15.6,15.095,15.2781,-0.1831,-0.046,0.0
132,2001-06-22,15.31,15.1025,15.2577,-0.1552,-0.082,0.0
133,2001-06-25,15.26,15.1075,15.2365,-0.129,-0.1066,0.0
134,2001-06-26,15.15,15.1067,15.2188,-0.1121,-0.1229,0.0
135,2001-06-27,14.72,15.0975,15.1819,-0.0844,-0.1302,0.0
136,2001-06-28,14.9,15.095,15.1554,-0.0604,-0.1297,0.0
137,2001-06-29,14.13,15.0267,15.1,-0.0733,-0.1243,0.0
138,2001-07-02,14.53,14.9992,15.0708,-0.0716,-0.1154,0.0
139,2001-07-03,14.5,14.9675,15.0465,-0.079,-0.1053,0.0
140,2001-07-05,14.41,14.915,15.0196,-0.1046,-0.0966,0.0
141,2001-07-06,13.93,14.8183,14.9727,-0.1544,-0.0965,0.0
