,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2001-07-19,12.69,,,,,
1,2001-07-20,12.55,,,,,
2,2001-07-23,12.54,,,,,
3,2001-07-24,12.43,,,,,
4,2001-07-25,12.5,,,,,
5,2001-07-26,12.13,,,,,
6,2001-07-27,12.13,,,,,
7,2001-07-30,12.29,,,,,
8,2001-07-31,12.51,,,,,
9,2001-08-01,12.96,,,,,
10,2001-08-02,12.88,,,,,
11,2001-08-03,12.67,12.5233,,,,
12,2001-08-06,12.63,12.5183,,,,
13,2001-08-07,12.96,12.5525,,,,
14,2001-08-08,12.54,12.5525,,,,
15,2001-08-09,12.96,12.5967,,,,
16,2001-08-10,12.7,12.6133,,,,
17,2001-08-13,12.55,12.6483,,,,
18,2001-08-14,12.29,12.6617,,,,
19,2001-08-15,12.37,12.6683,,,,
20,2001-08-16,11.75,12.605,,,,
21,2001-08-17,12.14,12.5367,,,,
22,2001-08-20,12.84,12.5333,,,,
23,2001-08-21,12.93,12.555,,,,
24,2001-08-22,12.83,12.5717,,,,
25,2001-08-23,12.75,12.5542,12.5585,,,
26,2001-08-24,12.88,12.5825,12.5658,0.0167,,1.0
27,2001-08-27,12.95,12.5817,12.5812,0.0005,,1.0
28,2001-08-28,12.85,12.5942,12.5931,0.0011,,1.0
29,2001-08-29,12.55,12.5942,12.5977,-0.0035,,0.0
30,2001-08-30,12.5,12.6117,12.5977,0.014,,1.0
31,2001-08-31,12.46,12.6192,12.6104,0.0088,,1.0
32,2001-09-04,12.86,12.7117,12.6385,0.0732,,1.0
33,2001-09-05,12.47,12.7392,12.6454,0.0938,,1.0
34,2001-09-06,12.13,12.68,12.6308,0.0492,0.0282,1.0
35,2001-09-07,12.14,12.6142,12.5992,0.015,0.028,1.0
36,2001-09-10,12.67,12.6008,12.5912,0.0096,0.029,1.0
37,2001-09-17,12.21,12.5558,12.5735,-0.0177,0.0269,0.0
38,2001-09-18,12.17,12.4967,12.5558,-0.0591,0.0208,0.0
39,2001-09-19,11.67,12.39,12.5062,-0.1162,0.0063,0.0
40,2001-09-20,10.83,12.2217,12.4404,-0.2187,-0.019,0.0
41,2001-09-21,10.66,12.0642,12.3519,-0.2877,-0.0591,0.0
42,2001-09-24,11.04,11.9425,12.2881,-0.3456,-0.1079,0.0
43,2001-09-25,10.7,11.7958,12.2169,-0.4211,-0.1602,0.0
44,2001-09-26,10.2,11.5742,12.1365,-0.5623,-0.2243,0.0
45,2001-09-27,9.91,11.3608,12.0419,-0.6811,-0.3011,0.0
46,2001-09-28,10.66,11.2383,12.0,-0.7617,-0.3837,0.0
47,2001-10-01,10.62,11.1117,11.9415,-0.8298,-0.4694,0.0
48,2001-10-02,10.52,10.9325,11.8523,-0.9198,-0.5586,0.0
49,2001-10-03,10.83,10.8175,11.7715,-0.954,-0.6403,0.0
50,2001-10-04,11.28,10.7433,11.7119,-0.9686,-0.716,0.0
51,2001-10-05,11.33,10.715,11.6573,-0.9423,-0.7823,0.0
52,2001-10-08,11.06,10.7342,11.5873,-0.8531,-0.8303,0.0
53,2001-10-09,11.21,10.78,11.5204,-0.7404,-0.8501,0.0
54,2001-10-10,11.43,10.8125,11.4658,-0.6533,-0.847,0.0
55,2001-10-11,12.68,10.9775,11.4708,-0.4933,-0.8172,0.0
56,2001-10-12,13.84,11.2808,11.5223,-0.2415,-0.7518,0.0
57,2001-10-15,14.64,11.675,11.6062,0.0688,-0.642,1.0
58,2001-10-16,14.59,12.0025,11.6727,0.3298,-0.4993,1.0
59,2001-10-17,14.2,12.3008,11.7392,0.5616,-0.3293,1.0
