,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,1533.11,,,,,
1,2000-12-13,1506.15,,,,,
2,2000-12-14,1487.85,,,,,
3,2000-12-15,1475.33,,,,,
4,2000-12-18,1515.78,,,,,
5,2000-12-19,1448.37,,,,,
6,2000-12-20,1437.77,,,,,
7,2000-12-21,1492.66,,,,,
8,2000-12-22,1491.7,,,,,
9,2000-12-26,1503.26,,,,,
10,2000-12-27,1533.11,,,,,
11,2000-12-28,1526.37,1495.955,,,,
12,2000-12-29,1518.67,1494.7517,,,,
13,2001-01-02,1492.66,1493.6275,,,,
14,2001-01-03,1478.22,1492.825,,,,
15,2001-01-04,1371.32,1484.1575,,,,
16,2001-01-05,1353.99,1470.675,,,,
17,2001-01-08,1362.66,1463.5325,,,,
18,2001-01-09,1340.51,1455.4275,,,,
19,2001-01-10,1332.8,1442.1058,,,,
20,2001-01-11,1299.1,1426.0558,,,,
21,2001-01-12,1266.36,1406.3142,,,,
22,2001-01-16,1306.8,1387.455,,,,
23,2001-01-17,1309.69,1369.3983,,,,
24,2001-01-18,1332.8,1353.9092,,,,
25,2001-01-19,1296.21,1337.5383,1423.5865,,,
26,2001-01-22,1303.91,1323.0125,1414.7712,-91.7587,,0.0
27,2001-01-23,1325.1,1319.1608,1407.8077,-88.6469,,0.0
28,2001-01-24,1353.99,1319.1608,1402.6592,-83.4984,,0.0
29,2001-01-25,1365.55,1319.4017,1398.4369,-79.0352,,0.0
30,2001-01-26,1352.06,1320.3642,1392.14,-71.7758,,0.0
31,2001-01-29,1346.36,1321.4942,1388.2165,-66.7223,,0.0
32,2001-01-30,1345.13,1325.33,1384.6535,-59.3235,,0.0
33,2001-01-31,1310.0,1328.9667,1377.6281,-48.6614,,0.0
34,2001-02-01,1318.01,1329.9008,1370.9477,-41.0469,-70.0521,0.0
35,2001-02-02,1331.11,1331.6858,1364.3265,-32.6407,-63.4835,0.0
36,2001-02-05,1358.84,1333.8558,1357.6238,-23.768,-56.2747,0.0
37,2001-02-06,1333.57,1336.9692,1350.2085,-13.2393,-48.4681,0.0
38,2001-02-07,1338.97,1339.8908,1343.2969,-3.4061,-40.0649,0.0
39,2001-02-08,1320.48,1339.5058,1336.6746,2.8312,-31.7752,1.0
40,2001-02-09,1335.58,1337.9717,1331.1885,6.7832,-23.6079,1.0
41,2001-02-12,1379.03,1339.095,1331.485,7.61,-16.1709,1.0
42,2001-02-13,1371.02,1340.675,1332.14,8.535,-9.8157,1.0
43,2001-02-14,1325.41,1338.9292,1330.7073,8.2219,-4.3414,1.0
44,2001-02-15,1334.65,1338.0558,1330.4819,7.5739,0.1269,1.0
45,2001-02-16,1334.65,1340.11,1330.5531,9.5569,3.8296,1.0
46,2001-02-20,1303.53,1338.9033,1330.7235,8.1798,6.2095,1.0
47,2001-02-21,1252.68,1332.3675,1330.1973,2.1702,6.8291,1.0
48,2001-02-22,1264.24,1324.4842,1328.5604,-4.0762,6.0616,0.0
49,2001-02-23,1245.75,1317.1658,1326.1012,-8.9354,4.3151,0.0
