,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,29.85,,,,,
1,2000-12-13,29.76,,,,,
2,2000-12-14,28.37,,,,,
3,2000-12-15,27.85,,,,,
4,2000-12-18,28.93,,,,,
5,2000-12-19,29.5,,,,,
6,2000-12-20,28.54,,,,,
7,2000-12-21,28.8,,,,,
8,2000-12-22,28.85,,,,,
9,2000-12-26,29.24,,,,,
10,2000-12-27,30.42,,,,,
11,2000-12-28,30.29,29.2,,,,
12,2000-12-29,30.37,29.2433,,,,
13,2001-01-02,28.59,29.1458,,,,
14,2001-01-03,28.41,29.1492,,,,
15,2001-01-04,26.45,29.0325,,,,
16,2001-01-05,26.54,28.8333,,,,
17,2001-01-08,27.67,28.6808,,,,
18,2001-01-09,26.84,28.5392,,,,
19,2001-01-10,26.41,28.34,,,,
20,2001-01-11,25.45,28.0567,,,,
21,2001-01-12,24.36,27.65,,,,
22,2001-01-16,25.27,27.2208,,,,
23,2001-01-17,25.19,26.7958,,,,
24,2001-01-18,24.66,26.32,,,,
25,2001-01-19,24.23,25.9567,27.7246,,,
26,2001-01-22,25.84,25.7425,27.5704,-1.8279,,0.0
27,2001-01-23,26.28,25.7283,27.4365,-1.7082,,0.0
28,2001-01-24,26.71,25.7425,27.3727,-1.6302,,0.0
29,2001-01-25,26.36,25.6333,27.3154,-1.6821,,0.0
30,2001-01-26,26.41,25.5975,27.2185,-1.621,,0.0
31,2001-01-29,26.24,25.5833,27.0931,-1.5098,,0.0
32,2001-01-30,27.0,25.7125,27.0338,-1.3213,,0.0
33,2001-01-31,27.11,25.9417,26.9688,-1.0271,,0.0
34,2001-02-01,27.21,26.1033,26.9058,-0.8025,-1.4589,0.0
35,2001-02-02,28.06,26.3425,26.8604,-0.5179,-1.3133,0.0
36,2001-02-05,28.03,26.6233,26.7685,-0.1452,-1.1397,0.0
37,2001-02-06,27.92,26.9308,26.6773,0.2535,-0.9304,1.0
38,2001-02-07,28.46,27.1492,26.6038,0.5454,-0.6829,1.0
39,2001-02-08,28.78,27.3575,26.6112,0.7463,-0.4198,1.0
40,2001-02-09,28.86,27.5367,26.6285,0.9082,-0.1512,1.0
41,2001-02-12,29.28,27.78,26.7373,1.0427,0.1115,1.0
42,2001-02-13,28.84,27.9825,26.8258,1.1567,0.3541,1.0
43,2001-02-14,28.77,28.1933,26.8681,1.3252,0.5905,1.0
44,2001-02-15,28.66,28.3317,26.9381,1.3936,0.8029,1.0
45,2001-02-16,29.05,28.4933,27.0396,1.4537,0.9806,1.0
46,2001-02-20,28.76,28.6225,27.1669,1.4556,1.1142,1.0
47,2001-02-21,27.57,28.5817,27.2904,1.2913,1.197,1.0
