,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,64.07,,,,,
1,2000-12-13,63.02,,,,,
2,2000-12-14,60.38,,,,,
3,2000-12-15,56.27,,,,,
4,2000-12-18,59.91,,,,,
5,2000-12-19,61.32,,,,,
6,2000-12-20,59.73,,,,,
7,2000-12-21,59.79,,,,,
8,2000-12-22,62.67,,,,,
9,2000-12-26,63.61,,,,,
10,2000-12-27,61.67,,,,,
11,2000-12-28,62.37,61.2342,,,,
12,2000-12-29,60.03,60.8975,,,,
13,2001-01-02,59.03,60.565,,,,
14,2001-01-03,62.96,60.78,,,,
15,2001-01-04,58.85,60.995,,,,
16,2001-01-05,54.75,60.565,,,,
17,2001-01-08,55.1,60.0467,,,,
18,2001-01-09,58.21,59.92,,,,
19,2001-01-10,57.03,59.69,,,,
20,2001-01-11,56.92,59.2108,,,,
21,2001-01-12,56.09,58.5842,,,,
22,2001-01-16,57.8,58.2617,,,,
23,2001-01-17,56.8,57.7975,,,,
24,2001-01-18,58.27,57.6508,,,,
25,2001-01-19,56.33,57.4258,59.3454,,,
26,2001-01-22,63.49,57.47,59.3231,-1.8531,,0.0
27,2001-01-23,63.61,57.8667,59.3458,-1.4791,,0.0
28,2001-01-24,64.84,58.7075,59.5173,-0.8098,,0.0
29,2001-01-25,67.6,59.7492,59.9531,-0.2039,,0.0
30,2001-01-26,67.3,60.5067,60.2373,0.2694,,1.0
31,2001-01-29,66.66,61.3092,60.4427,0.8665,,1.0
32,2001-01-30,66.66,62.1208,60.7092,1.4116,,1.0
33,2001-01-31,66.01,62.9475,60.9485,1.999,,1.0
34,2001-02-01,65.07,63.5533,61.0408,2.5125,0.3015,1.0
35,2001-02-02,65.66,64.2917,61.1196,3.1721,0.8598,1.0
36,2001-02-05,64.13,64.78,61.2142,3.5658,1.4204,1.0
37,2001-02-06,65.6,65.5525,61.3385,4.214,1.9786,1.0
38,2001-02-07,66.3,65.7867,61.5796,4.2071,2.4687,1.0
39,2001-02-08,65.54,65.9475,61.83,4.1175,2.8962,1.0
40,2001-02-09,68.12,66.2208,62.0285,4.1923,3.2658,1.0
41,2001-02-12,69.65,66.3917,62.4438,3.9479,3.5476,1.0
42,2001-02-13,67.89,66.4408,62.9492,3.4916,3.7134,1.0
43,2001-02-14,67.6,66.5192,63.43,3.0892,3.7775,1.0
44,2001-02-15,67.65,66.6017,63.7931,2.8086,3.7371,1.0
45,2001-02-16,66.89,66.675,64.1723,2.5027,3.619,1.0
46,2001-02-20,64.25,66.6067,64.4542,2.1525,3.3899,1.0
