,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,25.88,,,,,
1,2000-12-13,23.75,,,,,
2,2000-12-14,22.69,,,,,
3,2000-12-15,22.88,,,,,
4,2000-12-18,19.88,,,,,
5,2000-12-19,18.25,,,,,
6,2000-12-20,16.69,,,,,
7,2000-12-21,15.19,,,,,
8,2000-12-22,15.56,,,,,
9,2000-12-26,16.94,,,,,
10,2000-12-27,16.88,,,,,
11,2000-12-28,17.38,19.3308,,,,
12,2000-12-29,15.56,18.4708,,,,
13,2001-01-02,13.88,17.6483,,,,
14,2001-01-03,17.56,17.2208,,,,
15,2001-01-04,15.5,16.6058,,,,
16,2001-01-05,14.56,16.1625,,,,
17,2001-01-08,14.94,15.8867,,,,
18,2001-01-09,16.38,15.8608,,,,
19,2001-01-10,16.5,15.97,,,,
20,2001-01-11,17.0,16.09,,,,
21,2001-01-12,17.69,16.1525,,,,
22,2001-01-16,18.06,16.2508,,,,
23,2001-01-17,18.38,16.3342,,,,
24,2001-01-18,19.5,16.6625,,,,
25,2001-01-19,19.94,17.1675,17.9777,,,
26,2001-01-22,18.5,17.2458,17.6938,-0.448,,0.0
27,2001-01-23,18.95,17.5333,17.5092,0.0241,,1.0
28,2001-01-24,21.88,18.1433,17.4781,0.6652,,1.0
29,2001-01-25,19.0,18.4817,17.3288,1.1529,,1.0
30,2001-01-26,19.5,18.7417,17.3142,1.4275,,1.0
31,2001-01-29,20.12,19.0433,17.3862,1.6571,,1.0
32,2001-01-30,18.94,19.205,17.4727,1.7323,,1.0
33,2001-01-31,17.31,19.1733,17.5542,1.6191,,1.0
34,2001-02-01,16.25,19.0225,17.5808,1.4417,1.0302,1.0
35,2001-02-02,14.38,18.6892,17.4823,1.2069,1.2141,1.0
36,2001-02-05,14.44,18.2675,17.3885,0.879,1.3091,1.0
37,2001-02-06,15.81,17.9233,17.3281,0.5952,1.3013,1.0
38,2001-02-07,15.0,17.6317,17.3065,0.3252,1.2093,1.0
39,2001-02-08,14.38,17.2508,17.3258,-0.075,1.0424,0.0
40,2001-02-09,13.38,16.5425,17.165,-0.6225,0.7891,0.0
41,2001-02-12,14.5,16.1675,17.1265,-0.959,0.4901,0.0
42,2001-02-13,13.75,15.6883,17.0954,-1.4071,0.1538,0.0
43,2001-02-14,14.44,15.215,17.0762,-1.8612,-0.2132,0.0
44,2001-02-15,14.5,14.845,17.0038,-2.1588,-0.5871,0.0
45,2001-02-16,13.69,14.5433,16.8958,-2.3525,-0.9462,0.0
46,2001-02-20,12.5,14.2308,16.7227,-2.4919,-1.2892,0.0
47,2001-02-21,11.94,14.0275,16.5015,-2.474,-1.6002,0.0
48,2001-02-22,11.94,13.8192,16.2662,-2.447,-1.8638,0.0
49,2001-02-23,11.81,13.4858,16.0135,-2.5277,-2.0755,0.0
50,2001-02-26,11.94,13.2308,15.7227,-2.4919,-2.2458,0.0
51,2001-02-27,11.75,13.0117,15.4077,-2.396,-2.3557,0.0
52,2001-02-28,10.19,12.7458,15.0881,-2.3423,-2.4091,0.0
53,2001-03-01,10.44,12.4075,14.7608,-2.3533,-2.4307,0.0
54,2001-03-02,10.0,12.095,14.3038,-2.2088,-2.4148,0.0
55,2001-03-05,12.62,11.9433,14.0585,-2.1152,-2.3729,0.0
56,2001-03-06,11.88,11.725,13.7654,-2.0404,-2.3247,0.0
57,2001-03-07,12.25,11.605,13.4627,-1.8577,-2.2593,0.0
58,2001-03-08,11.69,11.5375,13.1838,-1.6463,-2.1613,0.0
59,2001-03-09,12.25,11.5633,12.9892,-1.4259,-2.0429,0.0
60,2001-03-12,10.62,11.4533,12.7727,-1.3194,-1.9233,0.0
61,2001-03-13,11.0,11.3858,12.6427,-1.2569,-1.8027,0.0
62,2001-03-14,10.62,11.2758,12.4958,-1.22,-1.6767,0.0
63,2001-03-15,10.88,11.2033,12.3062,-1.1029,-1.5539,0.0
64,2001-03-16,11.0,11.2708,12.1523,-0.8815,-1.4168,0.0
65,2001-03-19,10.5,11.2758,12.0031,-0.7273,-1.2709,0.0
66,2001-03-20,10.25,11.2967,11.8827,-0.586,-1.1296,0.0
67,2001-03-21,10.0,11.0783,11.7096,-0.6313,-1.0168,0.0
68,2001-03-22,10.19,10.9375,11.5727,-0.6352,-0.9289,0.0
69,2001-03-23,10.19,10.7658,11.4092,-0.6434,-0.8538,0.0
70,2001-03-26,10.94,10.7033,11.2723,-0.569,-0.7774,0.0
71,2001-03-27,11.64,10.6525,11.1935,-0.541,-0.702,0.0
72,2001-03-28,10.8,10.6675,11.1281,-0.4606,-0.6306,0.0
73,2001-03-29,10.0,10.5842,11.0535,-0.4693,-0.5848,0.0
74,2001-03-30,10.23,10.5517,10.9877,-0.436,-0.5524,0.0
75,2001-04-02,9.1,10.4033,10.8835,-0.4802,-0.5407,0.0
76,2001-04-03,8.63,10.2058,10.7562,-0.5504,-0.5317,0.0
77,2001-04-04,8.4,10.0308,10.6273,-0.5965,-0.5274,0.0
78,2001-04-05,9.12,9.9367,10.5862,-0.6495,-0.5281,0.0
79,2001-04-06,8.37,9.8008,10.5065,-0.7057,-0.5432,0.0
80,2001-04-09,11.18,9.8833,10.5519,-0.6686,-0.5574,0.0
81,2001-04-10,12.01,10.035,10.5285,-0.4935,-0.5611,0.0
82,2001-04-11,13.32,10.2333,10.5838,-0.3505,-0.5479,0.0
83,2001-04-12,14.67,10.4858,10.6769,-0.1911,-0.5207,0.0
84,2001-04-16,14.03,10.755,10.7669,-0.0119,-0.4686,0.0
85,2001-04-17,14.74,11.15,10.8627,0.2873,-0.3756,1.0
86,2001-04-18,16.54,11.6758,11.0904,0.5854,-0.2442,1.0
87,2001-04-19,15.99,12.25,11.2823,0.9677,-0.0645,1.0
88,2001-04-20,15.78,12.8458,11.4808,1.365,0.1655,1.0
89,2001-04-23,16.2,13.4958,11.6854,1.8104,0.441,1.0
90,2001-04-24,15.68,14.0425,11.8654,2.1771,0.7377,1.0
91,2001-04-25,16.09,14.6858,12.0804,2.6054,1.0661,1.0
92,2001-04-26,15.43,15.04,12.2796,2.7604,1.3941,1.0
93,2001-04-27,15.27,15.3117,12.4823,2.8294,1.7098,1.0
94,2001-04-30,15.78,15.5167,12.6973,2.8194,1.9911,1.0
95,2001-05-01,16.89,15.7017,12.955,2.7467,2.2313,1.0
96,2001-05-02,17.11,15.9583,13.1923,2.766,2.4311,1.0
97,2001-05-03,16.75,16.1258,13.3888,2.737,2.5835,1.0
98,2001-05-04,17.56,16.2108,13.6488,2.562,2.667,1.0
99,2001-05-07,16.92,16.2883,13.915,2.3733,2.6888,1.0
100,2001-05-08,16.18,16.3217,14.1438,2.1779,2.6413,1.0
101,2001-05-09,15.01,16.2225,14.3712,1.8513,2.5403,1.0
102,2001-05-10,14.62,16.1342,14.6015,1.5327,2.3963,1.0
103,2001-05-11,14.68,16.0167,14.8431,1.1736,2.2134,1.0
104,2001-05-14,13.33,15.8417,15.005,0.8367,2.0012,1.0
105,2001-05-15,13.54,15.6975,15.2038,0.4937,1.7487,1.0
106,2001-05-16,14.13,15.56,15.3173,0.2427,1.4715,1.0
107,2001-05-17,14.78,15.3842,15.4238,-0.0396,1.1825,0.0
108,2001-05-18,14.72,15.185,15.4777,-0.2927,0.8863,0.0
109,2001-05-21,16.38,15.1542,15.5435,-0.3893,0.601,0.0
110,2001-05-22,16.25,15.045,15.6288,-0.5838,0.3304,0.0
111,2001-05-23,15.6,14.935,15.6619,-0.7269,0.0794,0.0
112,2001-05-24,16.75,14.9825,15.67,-0.6875,-0.1274,0.0
113,2001-05-25,17.09,15.1558,15.7123,-0.5565,-0.2822,0.0
114,2001-05-29,17.22,15.3725,15.7677,-0.3952,-0.381,0.0
115,2001-05-30,15.66,15.4542,15.7469,-0.2927,-0.4405,0.0
116,2001-05-31,16.69,15.7342,15.7858,-0.0516,-0.4418,0.0
117,2001-06-01,16.95,16.0183,15.8188,0.1995,-0.3871,1.0
118,2001-06-04,16.91,16.25,15.8758,0.3742,-0.3023,1.0
119,2001-06-05,16.44,16.3883,15.9208,0.4675,-0.1855,1.0
120,2001-06-06,15.99,16.4942,15.9288,0.5654,-0.0419,1.0
121,2001-06-07,16.13,16.4733,15.8996,0.5737,0.0983,1.0
122,2001-06-08,15.7,16.4275,15.8454,0.5821,0.2248,1.0
123,2001-06-11,14.86,16.3658,15.7727,0.5931,0.3346,1.0
124,2001-06-12,14.64,16.19,15.6604,0.5296,0.4259,1.0
125,2001-06-13,14.12,15.9425,15.5527,0.3898,0.475,1.0
126,2001-06-14,13.29,15.615,15.4415,0.1735,0.4721,1.0
127,2001-06-15,12.49,15.3508,15.3446,0.0062,0.4312,1.0
128,2001-06-18,11.83,14.9458,15.2373,-0.2915,0.3469,0.0
129,2001-06-19,11.36,14.48,15.1096,-0.6296,0.2141,0.0
130,2001-06-20,12.53,14.115,15.0788,-0.9638,0.0433,0.0
131,2001-06-21,13.08,13.835,15.0612,-1.2262,-0.1577,0.0
132,2001-06-22,12.4,13.5358,14.9946,-1.4588,-0.3856,0.0
133,2001-06-25,12.81,13.2592,14.9188,-1.6596,-0.6289,0.0
134,2001-06-26,13.25,13.055,14.8623,-1.8073,-0.873,0.0
135,2001-06-27,14.04,12.9867,14.7723,-1.7856,-1.0907,0.0
136,2001-06-28,14.36,12.9633,14.6996,-1.7363,-1.2843,0.0
137,2001-06-29,14.15,12.9658,14.6438,-1.678,-1.4384,0.0
138,2001-07-02,14.53,13.0692,14.5585,-1.4893,-1.5339,0.0
139,2001-07-03,14.13,13.2058,14.4446,-1.2388,-1.5644,0.0
140,2001-07-05,15.27,13.4925,14.3696,-0.8771,-1.5256,0.0
141,2001-07-06,15.27,13.8183,14.3546,-0.5363,-1.4231,0.0
142,2001-07-09,15.81,14.0917,14.3208,-0.2291,-1.2642,0.0
143,2001-07-10,15.61,14.3025,14.2692,0.0333,-1.0597,1.0
144,2001-07-11,15.34,14.5475,14.2088,0.3387,-0.8237,1.0
145,2001-07-12,16.49,14.8542,14.2108,0.6434,-0.5592,1.0
146,2001-07-13,16.98,15.165,14.2488,0.9162,-0.271,1.0
147,2001-07-16,16.01,15.3292,14.2442,1.085,0.015,1.0
148,2001-07-17,16.35,15.495,14.2692,1.2258,0.2889,1.0
149,2001-07-18,15.96,15.6458,14.3115,1.3343,0.5346,1.0
150,2001-07-19,16.49,15.8092,14.3827,1.4265,0.7527,1.0
151,2001-07-20,16.98,16.0467,14.4927,1.554,0.9508,1.0
152,2001-07-23,16.03,16.11,14.5981,1.5119,1.1151,1.0
153,2001-07-24,12.06,15.8425,14.5815,1.261,1.2176,1.0
154,2001-07-25,11.51,15.4842,14.5692,0.915,1.2477,1.0
155,2001-07-26,12.33,15.2108,14.6065,0.6043,1.2131,1.0
156,2001-07-27,12.25,14.9533,14.5958,0.3575,1.1323,1.0
157,2001-07-30,12.55,14.625,14.5754,0.0496,1.0016,1.0
158,2001-07-31,12.49,14.2508,14.5788,-0.328,0.8169,0.0
159,2001-08-01,12.5,13.9583,14.5669,-0.6086,0.5907,0.0
160,2001-08-02,12.19,13.6117,14.5262,-0.9145,0.3165,0.0
161,2001-08-03,12.15,13.2942,14.4535,-1.1593,0.0197,0.0
162,2001-08-06,11.9,12.9117,14.3588,-1.4471,-0.2812,0.0
163,2001-08-07,11.6,12.4633,14.2608,-1.7975,-0.5826,0.0
164,2001-08-08,11.11,12.0533,14.1292,-2.0759,-0.8804,0.0
165,2001-08-09,10.46,11.92,13.9881,-2.0681,-1.1499,0.0
166,2001-08-10,9.95,11.79,13.7835,-1.9935,-1.3769,0.0
167,2001-08-13,10.12,11.6058,13.5854,-1.9796,-1.5605,0.0
168,2001-08-14,10.53,11.4625,13.3823,-1.9198,-1.7061,0.0
169,2001-08-15,10.08,11.2567,13.1696,-1.9129,-1.8171,0.0
170,2001-08-16,9.81,11.0333,12.9569,-1.9236,-1.902,0.0
171,2001-08-17,9.99,10.8242,12.7069,-1.8827,-1.9504,0.0
172,2001-08-20,10.4,10.675,12.4538,-1.7788,-1.9483,0.0
173,2001-08-21,9.89,10.4867,12.2185,-1.7318,-1.9101,0.0
174,2001-08-22,10.2,10.345,11.9819,-1.6369,-1.8622,0.0
175,2001-08-23,9.63,10.1808,11.7385,-1.5577,-1.8138,0.0
176,2001-08-24,10.23,10.1075,11.4977,-1.3902,-1.7483,0.0
177,2001-08-27,10.13,10.08,11.2342,-1.1542,-1.6632,0.0
178,2001-08-28,9.97,10.0817,11.0012,-0.9195,-1.5528,0.0
179,2001-08-29,9.19,10.0042,10.8908,-0.8866,-1.4376,0.0
180,2001-08-30,8.69,9.8508,10.7823,-0.9315,-1.3319,0.0
181,2001-08-31,8.94,9.7558,10.6519,-0.8961,-1.2338,0.0
182,2001-09-04,8.59,9.6542,10.5112,-0.857,-1.1366,0.0
183,2001-09-05,7.65,9.4592,10.3227,-0.8635,-1.0507,0.0
184,2001-09-06,8.15,9.2717,10.1558,-0.8841,-0.9759,0.0
185,2001-09-07,8.51,9.1567,10.0023,-0.8456,-0.9153,0.0
186,2001-09-10,8.63,9.0258,9.8654,-0.8396,-0.8804,0.0
187,2001-09-17,7.49,8.8475,9.6862,-0.8387,-0.8714,0.0
188,2001-09-18,7.29,8.6025,9.5088,-0.9063,-0.8736,0.0
189,2001-09-19,7.31,8.3675,9.3438,-0.9763,-0.8786,0.0
190,2001-09-20,7.48,8.16,9.2042,-1.0442,-0.895,0.0
191,2001-09-21,7.48,8.0175,9.0896,-1.0721,-0.9189,0.0
192,2001-09-24,7.46,7.915,8.9938,-1.0788,-0.9429,0.0
193,2001-09-25,7.09,7.7608,8.8773,-1.1165,-0.9687,0.0
194,2001-09-26,6.35,7.5742,8.7165,-1.1423,-1.0016,0.0
195,2001-09-27,6.2,7.4533,8.5673,-1.114,-1.0321,0.0
196,2001-09-28,5.97,7.2717,8.4196,-1.1479,-1.0665,0.0
197,2001-10-01,6.01,7.0633,8.2665,-1.2032,-1.0995,0.0
198,2001-10-02,6.08,6.8508,8.1004,-1.2496,-1.1298,0.0
199,2001-10-03,6.76,6.79,7.98,-1.19,-1.146,0.0
200,2001-10-04,7.04,6.7692,7.8585,-1.0893,-1.148,0.0
201,2001-10-05,7.2,6.76,7.765,-1.005,-1.1398,0.0
202,2001-10-08,7.12,6.73,7.6454,-0.9154,-1.1174,0.0
203,2001-10-09,6.91,6.6825,7.5215,-0.839,-1.0837,0.0
204,2001-10-10,7.26,6.6658,7.4173,-0.7515,-1.0434,0.0
205,2001-10-11,7.85,6.7292,7.3658,-0.6366,-0.9866,0.0
