,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,24.65,,,,,
1,2000-12-13,24.28,,,,,
2,2000-12-14,23.0,,,,,
3,2000-12-15,23.25,,,,,
4,2000-12-18,25.29,,,,,
5,2000-12-19,25.21,,,,,
6,2000-12-20,24.33,,,,,
7,2000-12-21,24.6,,,,,
8,2000-12-22,25.21,,,,,
9,2000-12-26,27.3,,,,,
10,2000-12-27,28.24,,,,,
11,2000-12-28,28.78,25.345,,,,
12,2000-12-29,27.55,25.5867,,,,
13,2001-01-02,27.84,25.8833,,,,
14,2001-01-03,26.0,26.1333,,,,
15,2001-01-04,24.77,26.26,,,,
16,2001-01-05,26.49,26.36,,,,
17,2001-01-08,26.76,26.4892,,,,
18,2001-01-09,26.17,26.6425,,,,
19,2001-01-10,26.12,26.7692,,,,
20,2001-01-11,26.17,26.8492,,,,
21,2001-01-12,25.58,26.7058,,,,
22,2001-01-16,25.61,26.4867,,,,
23,2001-01-17,24.33,26.1158,,,,
24,2001-01-18,23.45,25.7742,,,,
25,2001-01-19,23.67,25.4267,25.5635,,,
26,2001-01-22,24.16,25.2733,25.5446,-0.2713,,0.0
27,2001-01-23,24.18,25.2242,25.5408,-0.3166,,0.0
28,2001-01-24,24.16,25.03,25.5854,-0.5554,,0.0
29,2001-01-25,25.12,24.8933,25.6573,-0.764,,0.0
30,2001-01-26,24.35,24.7417,25.6212,-0.8795,,0.0
31,2001-01-29,23.9,24.5567,25.5708,-1.0141,,0.0
32,2001-01-30,22.95,24.2883,25.5177,-1.2294,,0.0
33,2001-01-31,22.65,24.0442,25.4427,-1.3985,,0.0
34,2001-02-01,22.46,23.7817,25.3369,-1.5552,-0.8871,0.0
35,2001-02-02,23.65,23.725,25.1965,-1.4715,-1.0205,0.0
36,2001-02-05,23.75,23.75,25.0238,-1.2738,-1.1268,0.0
37,2001-02-06,24.32,23.8042,24.8523,-1.0481,-1.1816,0.0
38,2001-02-07,24.67,23.8467,24.7415,-0.8948,-1.1961,0.0
39,2001-02-08,24.38,23.8633,24.6085,-0.7452,-1.1812,0.0
40,2001-02-09,24.65,23.9042,24.5565,-0.6523,-1.141,0.0
41,2001-02-12,24.58,23.8592,24.5492,-0.69,-1.081,0.0
42,2001-02-13,24.86,23.9017,24.4865,-0.5848,-0.9906,0.0
43,2001-02-14,24.46,23.9483,24.3981,-0.4498,-0.8678,0.0
44,2001-02-15,24.0,24.0358,24.3146,-0.2788,-0.7353,0.0
45,2001-02-16,24.14,24.16,24.2385,-0.0785,-0.6025,0.0
46,2001-02-20,24.62,24.34,24.1788,0.1612,-0.4681,1.0
47,2001-02-21,24.41,24.4033,24.1338,0.2695,-0.3387,1.0
48,2001-02-22,24.03,24.4267,24.0731,0.3536,-0.2167,1.0
49,2001-02-23,23.61,24.3675,24.0454,0.3221,-0.1084,1.0
50,2001-02-26,23.86,24.3,24.0612,0.2388,-0.0052,1.0
51,2001-02-27,23.81,24.2525,24.0665,0.186,0.0805,1.0
52,2001-02-28,23.08,24.1217,24.025,0.0967,0.1412,1.0
53,2001-03-01,23.31,24.0158,23.9915,0.0243,0.1749,1.0
54,2001-03-02,23.92,23.9375,23.9823,-0.0448,0.1786,0.0
55,2001-03-05,24.55,23.945,23.9604,-0.0154,0.159,0.0
56,2001-03-06,25.48,24.0683,24.0038,0.0645,0.1362,1.0
57,2001-03-07,26.36,24.2533,24.0985,0.1548,0.1141,1.0
58,2001-03-08,26.94,24.4467,24.2519,0.1948,0.1,1.0
59,2001-03-09,26.5,24.6208,24.4,0.2208,0.098,1.0
60,2001-03-12,25.6,24.7517,24.5208,0.2309,0.103,1.0
61,2001-03-13,24.98,24.8658,24.5719,0.2939,0.1249,1.0
62,2001-03-14,24.57,24.925,24.6035,0.3215,0.1579,1.0
63,2001-03-15,24.25,24.9617,24.6008,0.3609,0.203,1.0
64,2001-03-16,23.87,25.0275,24.57,0.4575,0.2555,1.0
65,2001-03-19,24.32,25.1117,24.5677,0.544,0.3088,1.0
