,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,29.78,,,,,
1,2000-12-13,29.65,,,,,
2,2000-12-14,27.69,,,,,
3,2000-12-15,27.81,,,,,
4,2000-12-18,28.98,,,,,
5,2000-12-19,30.53,,,,,
6,2000-12-20,29.41,,,,,
7,2000-12-21,29.28,,,,,
8,2000-12-22,29.46,,,,,
9,2000-12-26,32.66,,,,,
10,2000-12-27,32.79,,,,,
11,2000-12-28,33.98,30.1683,,,,
12,2000-12-29,32.27,30.3758,,,,
13,2001-01-02,31.44,30.525,,,,
14,2001-01-03,29.33,30.6617,,,,
15,2001-01-04,27.69,30.6517,,,,
16,2001-01-05,28.94,30.6483,,,,
17,2001-01-08,29.06,30.5258,,,,
18,2001-01-09,27.99,30.4075,,,,
19,2001-01-10,27.69,30.275,,,,
20,2001-01-11,28.03,30.1558,,,,
21,2001-01-12,27.85,29.755,,,,
22,2001-01-16,28.7,29.4142,,,,
23,2001-01-17,27.08,28.8392,,,,
24,2001-01-18,25.89,28.3075,,,,
25,2001-01-19,25.84,27.8408,29.2238,,,
26,2001-01-22,26.87,27.6358,29.1119,-1.4761,,0.0
27,2001-01-23,27.33,27.6058,29.0227,-1.4169,,0.0
28,2001-01-24,26.68,27.4175,28.9838,-1.5663,,0.0
29,2001-01-25,28.38,27.3608,29.0058,-1.645,,0.0
30,2001-01-26,27.12,27.2883,28.9342,-1.6459,,0.0
31,2001-01-29,26.78,27.2125,28.79,-1.5775,,0.0
32,2001-01-30,26.04,27.0467,28.6604,-1.6137,,0.0
33,2001-01-31,25.83,26.8783,28.5277,-1.6494,,0.0
34,2001-02-01,24.8,26.5533,28.3485,-1.7952,-1.5984,0.0
35,2001-02-02,27.29,26.5708,28.1419,-1.5711,-1.609,0.0
36,2001-02-05,27.87,26.7358,27.9527,-1.2169,-1.5868,0.0
37,2001-02-06,28.8,26.9825,27.7535,-0.771,-1.4984,0.0
38,2001-02-07,29.39,27.1925,27.6427,-0.4502,-1.3657,0.0
39,2001-02-08,29.19,27.3475,27.5562,-0.2087,-1.206,0.0
40,2001-02-09,30.05,27.6283,27.5838,0.0445,-1.0257,1.0
41,2001-02-12,29.73,27.7408,27.6623,0.0785,-0.8377,1.0
42,2001-02-13,30.88,28.0542,27.7369,0.3173,-0.6192,1.0
43,2001-02-14,30.78,28.3875,27.8031,0.5844,-0.3548,1.0
44,2001-02-15,30.42,28.7525,27.8965,0.856,-0.0851,1.0
45,2001-02-16,30.97,29.1808,28.0227,1.1581,0.1788,1.0
46,2001-02-20,30.44,29.6508,28.1154,1.5354,0.435,1.0
47,2001-02-21,29.43,29.8292,28.1762,1.653,0.6687,1.0
48,2001-02-22,28.99,29.9225,28.1873,1.7352,0.8847,1.0
49,2001-02-23,28.51,29.8983,28.2423,1.656,1.0638,1.0
50,2001-02-26,28.81,29.85,28.3546,1.4954,1.2212,1.0
51,2001-02-27,29.03,29.8367,28.4773,1.3594,1.337,1.0
52,2001-02-28,28.37,29.6967,28.535,1.1617,1.4011,1.0
53,2001-03-01,28.83,29.6217,28.5927,1.029,1.4204,1.0
54,2001-03-02,29.51,29.5075,28.7015,0.806,1.3812,1.0
55,2001-03-05,30.21,29.46,28.7719,0.6881,1.2871,1.0
56,2001-03-06,31.08,29.515,28.9242,0.5908,1.1691,1.0
57,2001-03-07,33.14,29.6958,29.1688,0.527,1.0348,1.0
58,2001-03-08,32.07,29.8317,29.4008,0.4309,0.8987,1.0
59,2001-03-09,32.04,30.0492,29.6396,0.4096,0.7781,1.0
60,2001-03-12,30.24,30.1533,29.8488,0.3045,0.6608,1.0
61,2001-03-13,29.81,30.2617,29.9458,0.3159,0.5669,1.0
62,2001-03-14,29.41,30.3117,30.005,0.3067,0.4866,1.0
63,2001-03-15,28.82,30.2942,30.0058,0.2884,0.4291,1.0
