,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,40.8,,,,,
1,2000-12-13,41.03,,,,,
2,2000-12-14,40.26,,,,,
3,2000-12-15,39.67,,,,,
4,2000-12-18,41.21,,,,,
5,2000-12-19,39.9,,,,,
6,2000-12-20,37.36,,,,,
7,2000-12-21,38.17,,,,,
8,2000-12-22,38.63,,,,,
9,2000-12-26,38.67,,,,,
10,2000-12-27,38.63,,,,,
11,2000-12-28,39.22,39.4625,,,,
12,2000-12-29,39.9,39.3875,,,,
13,2001-01-02,37.76,39.115,,,,
14,2001-01-03,40.69,39.1508,,,,
15,2001-01-04,39.41,39.1292,,,,
16,2001-01-05,37.5,38.82,,,,
17,2001-01-08,35.59,38.4608,,,,
18,2001-01-09,34.14,38.1925,,,,
19,2001-01-10,33.96,37.8417,,,,
20,2001-01-11,34.82,37.5242,,,,
21,2001-01-12,34.87,37.2075,,,,
22,2001-01-16,35.14,36.9167,,,,
23,2001-01-17,35.96,36.645,,,,
24,2001-01-18,36.09,36.3275,,,,
25,2001-01-19,35.37,36.1283,37.875,,,
26,2001-01-22,32.73,35.465,37.5646,-2.0996,,0.0
27,2001-01-23,33.82,34.9992,37.2873,-2.2881,,0.0
28,2001-01-24,33.64,34.6775,37.0327,-2.3552,,0.0
29,2001-01-25,33.73,34.5225,36.8042,-2.2817,,0.0
30,2001-01-26,33.91,34.5033,36.5235,-2.0202,,0.0
31,2001-01-29,34.63,34.5592,36.3208,-1.7616,,0.0
32,2001-01-30,34.85,34.5617,36.2242,-1.6625,,0.0
33,2001-01-31,34.26,34.5108,36.0738,-1.563,,0.0
34,2001-02-01,34.54,34.4608,35.9165,-1.4557,-1.9431,0.0
35,2001-02-02,34.99,34.38,35.775,-1.395,-1.8648,0.0
36,2001-02-05,35.21,34.3067,35.6435,-1.3368,-1.7591,0.0
37,2001-02-06,34.18,34.2075,35.4496,-1.2421,-1.6354,0.0
38,2001-02-07,33.73,34.2908,35.2123,-0.9215,-1.4843,0.0
39,2001-02-08,34.26,34.3275,35.0777,-0.7502,-1.3432,0.0
40,2001-02-09,34.21,34.375,34.8285,-0.4535,-1.1978,0.0
41,2001-02-12,34.99,34.48,34.6585,-0.1785,-1.0329,0.0
42,2001-02-13,34.03,34.49,34.525,-0.035,-0.8631,0.0
43,2001-02-14,33.92,34.4308,34.4608,-0.03,-0.7047,0.0
44,2001-02-15,34.08,34.3667,34.4585,-0.0918,-0.5599,0.0
45,2001-02-16,34.35,34.3742,34.4735,-0.0993,-0.4224,0.0
46,2001-02-20,33.44,34.2825,34.4204,-0.1379,-0.2997,0.0
47,2001-02-21,31.98,34.0317,34.3092,-0.2775,-0.2282,0.0
48,2001-02-22,32.37,33.795,34.2027,-0.4077,-0.1901,0.0
49,2001-02-23,32.66,33.6683,34.0758,-0.4075,-0.185,0.0
50,2001-02-26,32.88,33.5975,33.9523,-0.3548,-0.2046,0.0
51,2001-02-27,33.05,33.4967,33.8631,-0.3664,-0.2414,0.0
52,2001-02-28,31.92,33.3058,33.8319,-0.5261,-0.2966,0.0
53,2001-03-01,31.28,32.9967,33.7342,-0.7375,-0.3683,0.0
54,2001-03-02,31.82,32.8125,33.6642,-0.8517,-0.4519,0.0
55,2001-03-05,31.49,32.61,33.5781,-0.9681,-0.5441,0.0
