,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,51.94,,,,,
1,2000-12-13,51.0,,,,,
2,2000-12-14,50.53,,,,,
3,2000-12-15,48.74,,,,,
4,2000-12-18,51.47,,,,,
5,2000-12-19,49.87,,,,,
6,2000-12-20,48.84,,,,,
7,2000-12-21,48.56,,,,,
8,2000-12-22,47.66,,,,,
9,2000-12-26,47.34,,,,,
10,2000-12-27,48.13,,,,,
11,2000-12-28,49.17,49.4375,,,,
12,2000-12-29,49.59,49.2417,,,,
13,2001-01-02,46.58,48.8733,,,,
14,2001-01-03,47.01,48.58,,,,
15,2001-01-04,45.83,48.3375,,,,
16,2001-01-05,44.14,47.7267,,,,
17,2001-01-08,44.33,47.265,,,,
18,2001-01-09,44.28,46.885,,,,
19,2001-01-10,45.36,46.6183,,,,
20,2001-01-11,44.42,46.3483,,,,
21,2001-01-12,45.55,46.1992,,,,
22,2001-01-16,45.83,46.0075,,,,
23,2001-01-17,44.14,45.5883,,,,
24,2001-01-18,43.11,45.0483,,,,
25,2001-01-19,41.84,44.6533,47.1254,,,
26,2001-01-22,42.08,44.2425,46.7462,-2.5037,,0.0
27,2001-01-23,43.2,44.0233,46.4462,-2.4229,,0.0
28,2001-01-24,43.16,43.9417,46.1627,-2.221,,0.0
29,2001-01-25,44.52,43.9575,46.0004,-2.0429,,0.0
30,2001-01-26,43.63,43.9033,45.6988,-1.7955,,0.0
31,2001-01-29,42.42,43.6583,45.4123,-1.754,,0.0
32,2001-01-30,42.19,43.4725,45.1565,-1.684,,0.0
33,2001-01-31,43.96,43.34,44.9796,-1.6396,,0.0
34,2001-02-01,42.47,43.06,44.78,-1.72,-1.976,0.0
35,2001-02-02,42.72,42.9417,44.6023,-1.6606,-1.8823,0.0
36,2001-02-05,43.53,42.9767,44.4254,-1.4487,-1.774,0.0
37,2001-02-06,42.63,43.0425,44.1738,-1.1313,-1.653,0.0
38,2001-02-07,43.3,43.1442,43.9319,-0.7877,-1.5135,0.0
39,2001-02-08,43.34,43.1558,43.8073,-0.6515,-1.3864,0.0
40,2001-02-09,43.21,43.16,43.6612,-0.5012,-1.2472,0.0
41,2001-02-12,44.52,43.16,43.6108,-0.4508,-1.1102,0.0
42,2001-02-13,45.76,43.3375,43.6731,-0.3356,-0.9653,0.0
43,2001-02-14,45.66,43.6075,43.7242,-0.1167,-0.7871,0.0
44,2001-02-15,45.33,43.8692,43.7646,0.1046,-0.591,1.0
45,2001-02-16,45.21,43.9733,43.7588,0.2145,-0.4062,1.0
46,2001-02-20,46.61,44.3183,43.8431,0.4752,-0.2277,1.0
47,2001-02-21,45.37,44.5392,43.8362,0.703,-0.0621,1.0
48,2001-02-22,46.18,44.76,43.8496,0.9104,0.1115,1.0
49,2001-02-23,46.43,45.0767,43.9377,1.139,0.2937,1.0
50,2001-02-26,47.3,45.41,44.0988,1.3112,0.4895,1.0
51,2001-02-27,48.01,45.7992,44.3362,1.463,0.6894,1.0
52,2001-02-28,46.88,46.105,44.5208,1.5842,0.8783,1.0
53,2001-03-01,44.95,46.1408,44.5881,1.5527,1.0392,1.0
54,2001-03-02,45.29,46.1017,44.67,1.4317,1.1745,1.0
55,2001-03-05,46.66,46.185,44.7523,1.4327,1.2809,1.0
56,2001-03-06,46.82,46.3092,44.875,1.4342,1.3621,1.0
57,2001-03-07,48.31,46.5675,45.1015,1.466,1.4239,1.0
58,2001-03-08,48.8,46.75,45.3558,1.3942,1.4522,1.0
59,2001-03-09,49.36,47.0825,45.5635,1.519,1.4753,1.0
60,2001-03-12,45.97,47.065,45.6981,1.3669,1.4646,1.0
61,2001-03-13,45.65,47.0,45.8108,1.1892,1.4207,1.0
62,2001-03-14,43.73,46.7025,45.8185,0.884,1.3464,1.0
63,2001-03-15,42.28,46.225,45.805,0.42,1.234,1.0
64,2001-03-16,40.51,45.6942,45.6977,-0.0035,1.0744,0.0
65,2001-03-19,42.22,45.4667,45.6546,-0.1879,0.8942,0.0
66,2001-03-20,41.45,45.1467,45.5869,-0.4402,0.6824,0.0
67,2001-03-21,40.58,44.64,45.4354,-0.7954,0.4391,0.0
68,2001-03-22,39.19,44.0042,45.1827,-1.1785,0.1394,0.0
69,2001-03-23,39.94,43.3067,44.9627,-1.656,-0.1965,0.0
70,2001-03-26,41.78,42.7217,44.8262,-2.1045,-0.5624,0.0
71,2001-03-27,41.6,42.075,44.6873,-2.6123,-0.9509,0.0
72,2001-03-28,41.45,41.6983,44.4888,-2.7905,-1.3076,0.0
73,2001-03-29,42.17,41.4083,44.3658,-2.9575,-1.6359,0.0
74,2001-03-30,41.98,41.2625,44.2042,-2.9417,-1.9418,0.0
75,2001-04-02,41.46,41.1942,44.0131,-2.8189,-2.2061,0.0
76,2001-04-03,41.16,41.2483,43.7769,-2.5286,-2.3987,0.0
77,2001-04-04,41.17,41.1608,43.5138,-2.353,-2.5292,0.0
78,2001-04-05,42.81,41.2742,43.3573,-2.0831,-2.5767,0.0
79,2001-04-06,42.19,41.4083,43.2512,-1.8429,-2.5476,0.0
80,2001-04-09,42.86,41.7142,43.1577,-1.4435,-2.4177,0.0
81,2001-04-10,45.08,42.1425,43.0969,-0.9544,-2.2137,0.0
82,2001-04-11,44.55,42.3733,43.0096,-0.6363,-1.9558,0.0
83,2001-04-12,45.59,42.7058,42.905,-0.1992,-1.6511,0.0
84,2001-04-16,45.03,43.0042,42.76,0.2442,-1.3108,1.0
85,2001-04-17,45.67,43.2958,42.6181,0.6777,-0.9545,1.0
86,2001-04-18,46.2,43.6475,42.6269,1.0206,-0.5797,1.0
87,2001-04-19,45.69,44.0,42.6285,1.3715,-0.1958,1.0
88,2001-04-20,46.5,44.445,42.735,1.71,0.199,1.0
89,2001-04-23,45.32,44.7908,42.8519,1.9389,0.5748,1.0
90,2001-04-24,45.82,45.0417,43.0562,1.9855,0.9014,1.0
91,2001-04-25,45.47,45.315,43.1812,2.1338,1.2092,1.0
92,2001-04-26,45.96,45.5733,43.3546,2.2187,1.4779,1.0
93,2001-04-27,46.43,45.6858,43.5796,2.1062,1.6848,1.0
94,2001-04-30,46.57,45.8542,43.8635,1.9907,1.8307,1.0
95,2001-05-01,47.8,46.0383,44.1658,1.8725,1.9253,1.0
96,2001-05-02,48.23,46.305,44.4138,1.8912,1.9831,1.0
97,2001-05-03,48.23,46.5183,44.6688,1.8495,1.9986,1.0
98,2001-05-04,48.61,46.7192,44.9442,1.775,1.9803,1.0
99,2001-05-07,48.75,46.9742,45.1973,1.7769,1.9572,1.0
100,2001-05-08,48.71,47.1583,45.4562,1.7021,1.9092,1.0
101,2001-05-09,49.11,47.4742,45.7504,1.7238,1.8542,1.0
102,2001-05-10,49.83,47.8083,46.0838,1.7245,1.8118,1.0
103,2001-05-11,49.88,48.1758,46.4188,1.757,1.7858,1.0
104,2001-05-14,50.43,48.5483,46.7119,1.8364,1.7818,1.0
105,2001-05-15,50.32,48.8725,47.0246,1.8479,1.777,1.0
106,2001-05-16,50.44,49.195,47.3162,1.8788,1.7803,1.0
107,2001-05-17,51.98,49.5433,47.5815,1.9618,1.801,1.0
108,2001-05-18,51.65,49.8283,47.8546,1.9737,1.8229,1.0
109,2001-05-21,51.9,50.1342,48.0973,2.0369,1.8601,1.0
110,2001-05-22,51.38,50.365,48.3415,2.0235,1.8934,1.0
111,2001-05-23,49.87,50.4583,48.5031,1.9552,1.919,1.0
112,2001-05-24,49.27,50.505,48.6212,1.8838,1.9331,1.0
113,2001-05-25,47.85,50.4,48.7042,1.6958,1.9175,1.0
114,2001-05-29,48.0,50.2475,48.7619,1.4856,1.8772,1.0
115,2001-05-30,47.64,50.0608,48.8512,1.2096,1.8029,1.0
116,2001-05-31,47.52,49.8183,48.9165,0.9018,1.6851,1.0
117,2001-06-01,49.11,49.7175,49.0565,0.661,1.5392,1.0
118,2001-06-04,49.89,49.6717,49.2077,0.464,1.3645,1.0
119,2001-06-05,50.57,49.5542,49.3669,0.1873,1.1605,1.0
120,2001-06-06,49.95,49.4125,49.4969,-0.0844,0.9338,0.0
121,2001-06-07,49.61,49.2217,49.5665,-0.3448,0.6862,0.0
122,2001-06-08,48.81,49.0075,49.5888,-0.5813,0.4332,0.0
123,2001-06-11,48.74,48.9133,49.6085,-0.6952,0.1909,0.0
124,2001-06-12,49.65,48.945,49.6485,-0.7035,-0.0217,0.0
125,2001-06-13,49.49,49.0817,49.6769,-0.5952,-0.188,0.0
126,2001-06-14,48.03,49.0842,49.6508,-0.5666,-0.3244,0.0
127,2001-06-15,48.55,49.16,49.6292,-0.4692,-0.4281,0.0
128,2001-06-18,49.02,49.285,49.5981,-0.3131,-0.4837,0.0
129,2001-06-19,46.7,49.0842,49.4758,-0.3916,-0.5178,0.0
130,2001-06-20,46.18,48.775,49.3123,-0.5373,-0.5392,0.0
131,2001-06-21,43.64,48.1975,49.0554,-0.8579,-0.57,0.0
132,2001-06-22,43.07,47.6242,48.7719,-1.1477,-0.6202,0.0
133,2001-06-25,43.04,47.0767,48.4281,-1.3514,-0.6922,0.0
134,2001-06-26,43.09,46.6,48.0988,-1.4988,-0.7926,0.0
135,2001-06-27,43.6,46.1717,47.7796,-1.6079,-0.9083,0.0
136,2001-06-28,43.25,45.6383,47.4669,-1.8286,-1.0594,0.0
137,2001-06-29,42.01,45.015,47.1646,-2.1496,-1.2634,0.0
138,2001-07-02,42.59,44.5617,46.9077,-2.346,-1.4806,0.0
139,2001-07-03,42.56,44.0625,46.7042,-2.6417,-1.7144,0.0
140,2001-07-05,41.73,43.455,46.4631,-3.0081,-1.9533,0.0
141,2001-07-06,41.03,42.9825,46.2088,-3.2263,-2.1843,0.0
142,2001-07-09,39.92,42.4608,45.9165,-3.4557,-2.4181,0.0
