,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,14.72,,,,,
1,2000-12-13,14.55,,,,,
2,2000-12-14,14.34,,,,,
3,2000-12-15,14.17,,,,,
4,2000-12-18,14.74,,,,,
5,2000-12-19,14.99,,,,,
6,2000-12-20,14.48,,,,,
7,2000-12-21,15.52,,,,,
8,2000-12-22,15.63,,,,,
9,2000-12-26,15.69,,,,,
10,2000-12-27,15.86,,,,,
11,2000-12-28,15.86,15.0458,,,,
12,2000-12-29,15.54,15.1142,,,,
13,2001-01-02,15.84,15.2217,,,,
14,2001-01-03,16.92,15.4367,,,,
15,2001-01-04,17.45,15.71,,,,
16,2001-01-05,16.26,15.8367,,,,
17,2001-01-08,16.35,15.95,,,,
18,2001-01-09,15.92,16.07,,,,
19,2001-01-10,16.45,16.1475,,,,
20,2001-01-11,16.75,16.2408,,,,
21,2001-01-12,16.62,16.3183,,,,
22,2001-01-16,17.26,16.435,,,,
23,2001-01-17,16.79,16.5125,,,,
24,2001-01-18,16.58,16.5992,,,,
25,2001-01-19,16.66,16.6675,15.8438,,,
26,2001-01-22,17.07,16.68,15.9342,0.7458,,1.0
27,2001-01-23,17.07,16.6483,16.0312,0.6171,,1.0
28,2001-01-24,17.3,16.735,16.145,0.59,,1.0
29,2001-01-25,17.45,16.8267,16.2712,0.5555,,1.0
30,2001-01-26,18.02,17.0017,16.3973,0.6044,,1.0
31,2001-01-29,18.3,17.1558,16.5246,0.6312,,1.0
32,2001-01-30,18.79,17.3258,16.6904,0.6354,,1.0
33,2001-01-31,18.23,17.46,16.7946,0.6654,,1.0
34,2001-02-01,18.05,17.5258,16.8877,0.6381,0.6314,1.0
35,2001-02-02,18.16,17.64,16.9827,0.6573,0.6216,1.0
36,2001-02-05,18.04,17.7617,17.0665,0.6952,0.6303,1.0
37,2001-02-06,17.26,17.8117,17.1204,0.6913,0.6415,1.0
38,2001-02-07,16.77,17.7867,17.1677,0.619,0.6486,1.0
39,2001-02-08,16.52,17.7408,17.1938,0.547,0.6422,1.0
40,2001-02-09,16.77,17.6967,17.1881,0.5086,0.6286,1.0
41,2001-02-12,16.96,17.6558,17.1692,0.4866,0.6121,1.0
42,2001-02-13,17.02,17.5725,17.1985,0.374,0.5797,1.0
43,2001-02-14,17.21,17.4817,17.2315,0.2502,0.5366,1.0
44,2001-02-15,17.24,17.3525,17.2823,0.0702,0.4713,1.0
45,2001-02-16,17.41,17.2842,17.3192,-0.035,0.3902,0.0
46,2001-02-20,16.64,17.1667,17.315,-0.1483,0.2969,0.0
47,2001-02-21,16.18,17.0017,17.2981,-0.2964,0.1952,0.0
48,2001-02-22,16.35,16.8608,17.2631,-0.4023,0.0897,0.0
49,2001-02-23,16.65,16.81,17.2577,-0.4477,-0.0165,0.0
50,2001-02-26,17.27,16.8517,17.2842,-0.4325,-0.1186,0.0
51,2001-02-27,17.42,16.9267,17.3135,-0.3868,-0.2032,0.0
52,2001-02-28,17.37,16.9767,17.325,-0.3483,-0.2697,0.0
53,2001-03-01,16.9,16.9717,17.3185,-0.3468,-0.316,0.0
54,2001-03-02,16.8,16.9533,17.2992,-0.3459,-0.3506,0.0
55,2001-03-05,16.81,16.92,17.2746,-0.3546,-0.3735,0.0
56,2001-03-06,17.22,16.9183,17.2438,-0.3255,-0.3767,0.0
57,2001-03-07,18.07,16.9733,17.235,-0.2617,-0.3611,0.0
58,2001-03-08,18.4,17.12,17.22,-0.1,-0.3225,0.0
59,2001-03-09,17.98,17.27,17.2104,0.0596,-0.2678,1.0
60,2001-03-12,17.68,17.3808,17.1962,0.1846,-0.2043,1.0
61,2001-03-13,18.58,17.5417,17.2123,0.3294,-0.129,1.0
62,2001-03-14,17.73,17.58,17.2004,0.3796,-0.0483,1.0
63,2001-03-15,17.9,17.62,17.225,0.395,0.034,1.0
64,2001-03-16,17.61,17.64,17.2573,0.3827,0.116,1.0
65,2001-03-19,18.14,17.7433,17.3196,0.4237,0.1992,1.0
66,2001-03-20,17.57,17.8075,17.3504,0.4571,0.2791,1.0
67,2001-03-21,17.45,17.8608,17.3692,0.4916,0.3448,1.0
68,2001-03-22,17.01,17.8433,17.3688,0.4745,0.3909,1.0
69,2001-03-23,18.08,17.8442,17.4023,0.4419,0.4195,1.0
70,2001-03-26,17.98,17.8092,17.4308,0.3784,0.4249,1.0
71,2001-03-27,18.66,17.8658,17.4788,0.387,0.4258,1.0
72,2001-03-28,18.64,17.9458,17.5558,0.39,0.4252,1.0
73,2001-03-29,18.21,17.915,17.6338,0.2812,0.4139,1.0
74,2001-03-30,18.75,18.0,17.7262,0.2738,0.3973,1.0
75,2001-04-02,18.5,18.05,17.7973,0.2527,0.3746,1.0
76,2001-04-03,17.9,18.0742,17.8215,0.2527,0.348,1.0
77,2001-04-04,17.23,17.9983,17.8142,0.1841,0.3158,1.0
78,2001-04-05,17.76,18.0142,17.8292,0.185,0.2872,1.0
79,2001-04-06,16.99,17.9758,17.8327,0.1431,0.2611,1.0
80,2001-04-09,17.33,18.0025,17.8531,0.1494,0.2347,1.0
81,2001-04-10,17.78,17.9775,17.8904,0.0871,0.201,1.0
82,2001-04-11,18.0,17.9792,17.9204,0.0588,0.1763,1.0
83,2001-04-12,18.14,17.9358,17.9231,0.0127,0.1473,1.0
84,2001-04-16,17.97,17.88,17.9065,-0.0265,0.1163,0.0
85,2001-04-17,17.81,17.8467,17.9,-0.0533,0.0823,0.0
86,2001-04-18,18.9,17.8592,17.9469,-0.0877,0.0521,0.0
87,2001-04-19,19.32,17.9275,17.9754,-0.0479,0.0262,0.0
88,2001-04-20,18.84,18.0058,18.0181,-0.0123,0.0089,0.0
89,2001-04-23,18.81,18.1375,18.0531,0.0844,0.0017,1.0
90,2001-04-24,18.67,18.2133,18.0938,0.1195,0.0053,1.0
91,2001-04-25,18.8,18.3642,18.1192,0.245,0.026,1.0
92,2001-04-26,18.88,18.4933,18.1696,0.3237,0.0605,1.0
93,2001-04-27,19.5,18.6367,18.2485,0.3882,0.1066,1.0
