,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,31.82,,,,,
1,2000-12-13,32.48,,,,,
2,2000-12-14,32.46,,,,,
3,2000-12-15,32.44,,,,,
4,2000-12-18,32.58,,,,,
5,2000-12-19,32.91,,,,,
6,2000-12-20,32.27,,,,,
7,2000-12-21,32.41,,,,,
8,2000-12-22,31.94,,,,,
9,2000-12-26,32.63,,,,,
10,2000-12-27,33.27,,,,,
11,2000-12-28,33.84,32.5875,,,,
12,2000-12-29,33.73,32.7467,,,,
13,2001-01-02,34.23,32.8925,,,,
14,2001-01-03,32.99,32.9367,,,,
15,2001-01-04,31.12,32.8267,,,,
16,2001-01-05,31.7,32.7533,,,,
17,2001-01-08,32.46,32.7158,,,,
18,2001-01-09,32.79,32.7592,,,,
19,2001-01-10,32.44,32.7617,,,,
20,2001-01-11,32.32,32.7933,,,,
21,2001-01-12,31.86,32.7292,,,,
22,2001-01-16,32.39,32.6558,,,,
23,2001-01-17,31.72,32.4792,,,,
24,2001-01-18,32.46,32.3733,,,,
25,2001-01-19,31.72,32.1642,32.4992,,,
26,2001-01-22,33.18,32.18,32.5515,-0.3715,,0.0
27,2001-01-23,32.46,32.2917,32.5508,-0.2591,,0.0
28,2001-01-24,31.82,32.3017,32.5262,-0.2245,,0.0
29,2001-01-25,33.06,32.3517,32.55,-0.1983,,0.0
30,2001-01-26,33.44,32.4058,32.5831,-0.1773,,0.0
31,2001-01-29,33.5,32.4942,32.6058,-0.1116,,0.0
32,2001-01-30,33.41,32.585,32.6496,-0.0646,,0.0
33,2001-01-31,33.56,32.7267,32.6938,0.0329,,1.0
34,2001-02-01,33.6,32.8275,32.7577,0.0698,-0.1449,1.0
35,2001-02-02,33.47,32.9733,32.79,0.1833,-0.0833,1.0
36,2001-02-05,33.54,33.0633,32.8004,0.2629,-0.0253,1.0
37,2001-02-06,33.59,33.2192,32.7908,0.4284,0.0473,1.0
38,2001-02-07,33.59,33.2533,32.7854,0.4679,0.1213,1.0
39,2001-02-08,33.7,33.3567,32.765,0.5917,0.2067,1.0
40,2001-02-09,33.61,33.5058,32.7888,0.717,0.2988,1.0
41,2001-02-12,34.18,33.5992,32.9065,0.6927,0.383,1.0
42,2001-02-13,33.89,33.6367,32.9908,0.6459,0.4511,1.0
43,2001-02-14,33.53,33.6392,33.0319,0.6073,0.5108,1.0
44,2001-02-15,32.83,33.5908,33.0335,0.5573,0.5523,1.0
45,2001-02-16,33.12,33.5542,33.0596,0.4946,0.5781,1.0
46,2001-02-20,34.06,33.5925,33.1265,0.466,0.5823,1.0
47,2001-02-21,35.02,33.7217,33.2481,0.4736,0.5829,1.0
48,2001-02-22,34.56,33.8067,33.3315,0.4752,0.57,1.0
49,2001-02-23,34.14,33.8525,33.4246,0.4279,0.5378,1.0
50,2001-02-26,34.51,33.9292,33.5035,0.4257,0.5082,1.0
51,2001-02-27,34.76,34.0175,33.6204,0.3971,0.4805,1.0
52,2001-02-28,35.17,34.1475,33.6969,0.4506,0.4631,1.0
53,2001-03-01,35.37,34.2467,33.8088,0.4379,0.4498,1.0
54,2001-03-02,35.64,34.3925,33.9558,0.4367,0.4434,1.0
55,2001-03-05,36.36,34.6283,34.0827,0.5456,0.4523,1.0
56,2001-03-06,36.06,34.8975,34.1835,0.714,0.479,1.0
57,2001-03-07,34.5,35.0125,34.2219,0.7906,0.514,1.0
58,2001-03-08,35.41,35.125,34.2988,0.8262,0.5583,1.0
59,2001-03-09,35.48,35.1633,34.3727,0.7906,0.5988,1.0
60,2001-03-12,34.47,35.1558,34.4062,0.7496,0.638,1.0
61,2001-03-13,35.1,35.2358,34.4688,0.767,0.6731,1.0
62,2001-03-14,34.56,35.24,34.5081,0.7319,0.7058,1.0
63,2001-03-15,34.39,35.2092,34.5388,0.6704,0.7318,1.0
64,2001-03-16,34.33,35.1392,34.5673,0.5719,0.7347,1.0
65,2001-03-19,34.38,35.0567,34.5935,0.4632,0.7068,1.0
66,2001-03-20,34.14,34.9317,34.6138,0.3179,0.6543,1.0
67,2001-03-21,34.15,34.7475,34.6127,0.1348,0.5775,1.0
68,2001-03-22,32.54,34.4542,34.5608,-0.1066,0.4778,0.0
69,2001-03-23,33.6,34.3792,34.5635,-0.1843,0.374,0.0
70,2001-03-26,34.04,34.265,34.61,-0.345,0.2505,0.0
71,2001-03-27,34.5,34.1833,34.6631,-0.4798,0.1158,0.0
72,2001-03-28,35.39,34.26,34.7142,-0.4542,-0.0091,0.0
73,2001-03-29,35.88,34.325,34.7473,-0.4223,-0.1196,0.0
74,2001-03-30,35.95,34.4408,34.8008,-0.36,-0.2111,0.0
75,2001-04-02,35.39,34.5242,34.8488,-0.3246,-0.2824,0.0
76,2001-04-03,34.37,34.5275,34.8435,-0.316,-0.3325,0.0
77,2001-04-04,35.23,34.5983,34.8615,-0.2632,-0.3499,0.0
78,2001-04-05,35.9,34.745,34.8896,-0.1446,-0.3455,0.0
79,2001-04-06,34.22,34.7508,34.8454,-0.0946,-0.3177,0.0
80,2001-04-09,34.53,34.9167,34.8027,0.114,-0.2517,1.0
81,2001-04-10,34.57,34.9975,34.7338,0.2637,-0.172,1.0
82,2001-04-11,33.99,34.9933,34.6542,0.3391,-0.0874,1.0
83,2001-04-12,34.19,34.9675,34.6423,0.3252,-0.0112,1.0
84,2001-04-16,34.54,34.8967,34.6088,0.2879,0.0568,1.0
85,2001-04-17,35.11,34.8325,34.5946,0.2379,0.1184,1.0
86,2001-04-18,34.64,34.7233,34.6012,0.1221,0.1612,1.0
