,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,69.17,,,,,
1,2000-12-13,67.79,,,,,
2,2000-12-14,69.4,,,,,
3,2000-12-15,69.81,,,,,
4,2000-12-18,75.08,,,,,
5,2000-12-19,66.79,,,,,
6,2000-12-20,61.35,,,,,
7,2000-12-21,62.4,,,,,
8,2000-12-22,65.31,,,,,
9,2000-12-26,67.46,,,,,
10,2000-12-27,66.65,,,,,
11,2000-12-28,65.58,67.2325,,,,
12,2000-12-29,63.19,66.7342,,,,
13,2001-01-02,59.25,66.0225,,,,
14,2001-01-03,62.1,65.4142,,,,
15,2001-01-04,55.33,64.2075,,,,
16,2001-01-05,51.69,62.2583,,,,
17,2001-01-08,49.73,60.8367,,,,
18,2001-01-09,47.83,59.71,,,,
19,2001-01-10,52.71,58.9025,,,,
20,2001-01-11,55.0,58.0433,,,,
21,2001-01-12,56.21,57.1058,,,,
22,2001-01-16,57.33,56.3292,,,,
23,2001-01-17,54.44,55.4008,,,,
24,2001-01-18,56.88,54.875,,,,
25,2001-01-19,56.89,54.6783,60.9758,,,
26,2001-01-22,60.12,54.5133,60.6277,-6.1144,,0.0
27,2001-01-23,63.12,55.1625,60.4481,-5.2856,,0.0
28,2001-01-24,64.06,56.1933,60.2427,-4.0494,,0.0
29,2001-01-25,61.77,57.1967,59.9335,-2.7368,,0.0
30,2001-01-26,63.31,58.4867,59.4808,-0.9941,,0.0
31,2001-01-29,66.81,59.6617,59.4815,0.1802,,1.0
32,2001-01-30,62.62,60.2967,59.5304,0.7663,,1.0
33,2001-01-31,58.81,60.5133,59.3923,1.121,,1.0
34,2001-02-01,57.06,60.4908,59.075,1.4158,-1.7441,1.0
35,2001-02-02,57.23,60.7233,58.6815,2.0418,-0.8379,1.0
36,2001-02-05,57.5,60.775,58.3296,2.4454,0.0211,1.0
37,2001-02-06,59.0,60.9508,58.0765,2.8743,0.7904,1.0
38,2001-02-07,58.12,60.7842,57.8815,2.9027,1.417,1.0
39,2001-02-08,59.5,60.4825,57.8912,2.5913,1.8154,1.0
40,2001-02-09,59.31,60.0867,57.7838,2.3029,2.0513,1.0
41,2001-02-12,61.75,60.085,58.0308,2.0542,2.1944,1.0
42,2001-02-13,59.62,59.7775,58.3358,1.4417,2.23,1.0
43,2001-02-14,60.44,59.2467,58.7477,0.499,2.1281,1.0
44,2001-02-15,59.5,58.9867,59.1965,-0.2098,1.878,0.0
45,2001-02-16,55.0,58.6692,59.2846,-0.6154,1.5379,0.0
46,2001-02-20,55.5,58.5392,59.3038,-0.7646,1.1336,0.0
47,2001-02-21,53.25,58.2075,59.19,-0.9825,0.7019,0.0
48,2001-02-22,52.56,57.7958,59.0065,-1.2107,0.2794,0.0
49,2001-02-23,54.0,57.3792,58.9896,-1.6104,-0.1554,0.0
50,2001-02-26,58.0,57.3692,59.0327,-1.6635,-0.5685,0.0
51,2001-02-27,54.44,56.9475,58.9385,-1.991,-0.9499,0.0
52,2001-02-28,56.38,56.7033,58.7946,-2.0913,-1.2377,0.0
53,2001-03-01,54.55,56.1033,58.465,-2.3617,-1.4768,0.0
54,2001-03-02,54.31,55.6608,58.09,-2.4292,-1.6783,0.0
55,2001-03-05,54.94,55.2025,57.8273,-2.6248,-1.885,0.0
56,2001-03-06,57.0,54.9942,57.5846,-2.5904,-2.0637,0.0
57,2001-03-07,56.06,55.0825,57.1712,-2.0887,-2.1612,0.0
58,2001-03-08,55.62,55.0925,56.9019,-1.8094,-2.1833,0.0
59,2001-03-09,51.12,54.915,56.6062,-1.6912,-2.1864,0.0
60,2001-03-12,45.69,54.3425,56.1688,-1.8263,-2.1681,0.0
61,2001-03-13,48.0,53.8425,55.8138,-1.9713,-2.1548,0.0
62,2001-03-14,51.12,53.2692,55.5685,-2.2993,-2.1478,0.0
63,2001-03-15,50.94,52.9775,55.2585,-2.281,-2.1314,0.0
64,2001-03-16,48.12,52.2892,54.8738,-2.5846,-2.1269,0.0
65,2001-03-19,52.5,52.1183,54.6046,-2.4863,-2.1153,0.0
66,2001-03-20,49.12,51.6858,54.2127,-2.5269,-2.164,0.0
67,2001-03-21,42.06,50.6125,53.4554,-2.8429,-2.2789,0.0
68,2001-03-22,38.56,49.0758,52.6454,-3.5696,-2.4876,0.0
69,2001-03-23,39.69,47.7117,51.8473,-4.1356,-2.7442,0.0
70,2001-03-26,39.06,46.3317,51.0612,-4.7295,-3.0506,0.0
71,2001-03-27,38.44,45.275,50.4242,-5.1492,-3.3673,0.0
72,2001-03-28,39.38,44.7492,49.8042,-5.055,-3.6755,0.0
73,2001-03-29,41.0,44.1658,49.3331,-5.1673,-3.9625,0.0
74,2001-03-30,40.0,43.2392,48.85,-5.6108,-4.3096,0.0
75,2001-04-02,38.69,42.2183,48.2612,-6.0429,-4.7003,0.0
76,2001-04-03,35.69,41.1825,47.4031,-6.2206,-5.0756,0.0
77,2001-04-04,35.75,39.7867,46.6842,-6.8975,-5.4454,0.0
78,2001-04-05,42.12,39.2033,46.1358,-6.9325,-5.7561,0.0
79,2001-04-06,41.38,39.1467,45.6292,-6.4825,-5.9509,0.0
80,2001-04-09,43.39,39.5492,45.2092,-5.66,-6.0077,0.0
81,2001-04-10,47.31,40.1842,44.9158,-4.7316,-5.9717,0.0
82,2001-04-11,45.37,40.71,44.4685,-3.7585,-5.8152,0.0
83,2001-04-12,49.23,41.6092,44.2058,-2.5966,-5.4803,0.0
84,2001-04-16,48.78,42.3925,43.9427,-1.5502,-4.9811,0.0
85,2001-04-17,50.51,43.185,43.9192,-0.7342,-4.3715,0.0
86,2001-04-18,54.65,44.4058,44.2638,0.142,-3.5893,1.0
87,2001-04-19,52.14,45.5267,44.4231,1.1036,-2.6964,1.0
88,2001-04-20,48.27,46.575,44.3135,2.2615,-1.7249,1.0
89,2001-04-23,44.88,47.3358,44.0804,3.2554,-0.7343,1.0
90,2001-04-24,43.09,47.4167,43.8869,3.5298,0.1836,1.0
91,2001-04-25,46.06,47.8067,43.6392,4.1675,1.0643,1.0
92,2001-04-26,45.1,47.9492,43.4846,4.4646,1.8489,1.0
93,2001-04-27,48.03,48.0092,43.7142,4.295,2.4984,1.0
94,2001-04-30,49.2,48.3283,44.1235,4.2048,3.0471,1.0
95,2001-05-01,47.51,48.185,44.4242,3.7608,3.4492,1.0
96,2001-05-02,46.54,47.9983,44.7119,3.2864,3.6918,1.0
97,2001-05-03,45.1,47.5475,44.9681,2.5794,3.7271,1.0
98,2001-05-04,51.94,47.3217,45.4512,1.8705,3.5732,1.0
99,2001-05-07,52.96,47.39,45.9112,1.4788,3.3453,1.0
100,2001-05-08,55.02,47.9525,46.4888,1.4637,3.0449,1.0
101,2001-05-09,54.19,48.7283,47.085,1.6433,2.7314,1.0
102,2001-05-10,52.81,49.5383,47.7435,1.7948,2.4536,1.0
103,2001-05-11,52.0,50.0333,48.3685,1.6648,2.1714,1.0
104,2001-05-14,50.64,50.495,48.6962,1.7988,1.9534,1.0
105,2001-05-15,49.81,50.6433,49.0204,1.6229,1.7686,1.0
106,2001-05-16,53.18,50.975,49.3969,1.5781,1.6573,1.0
107,2001-05-17,55.1,51.6075,49.6965,1.911,1.6618,1.0
108,2001-05-18,57.05,52.4833,50.1458,2.3375,1.7572,1.0
109,2001-05-21,62.45,53.9292,50.6542,3.275,1.9585,1.0
110,2001-05-22,60.2,54.6175,51.0935,3.524,2.1674,1.0
111,2001-05-23,57.17,54.9683,51.3496,3.6187,2.3701,1.0
112,2001-05-24,60.42,55.4183,51.5715,3.8468,2.6125,1.0
113,2001-05-25,60.53,55.9467,51.8942,4.0525,2.8629,1.0
114,2001-05-29,60.42,56.5808,52.3615,4.2193,3.1514,1.0
115,2001-05-30,59.85,57.235,52.9373,4.2977,3.4536,1.0
116,2001-05-31,61.6,58.1483,53.6492,4.4991,3.7412,1.0
117,2001-06-01,65.39,59.4467,54.3927,5.054,4.043,1.0
118,2001-06-04,68.96,60.7617,55.3104,5.4513,4.2848,1.0
119,2001-06-05,74.57,62.3842,56.3312,6.053,4.5658,1.0
120,2001-06-06,70.96,63.5433,57.1681,6.3752,4.8721,1.0
121,2001-06-07,72.96,64.4192,58.1469,6.2723,5.1416,1.0
122,2001-06-08,71.66,65.3742,59.1131,6.2611,5.387,1.0
123,2001-06-11,68.94,66.355,60.03,6.325,5.621,1.0
124,2001-06-12,67.97,66.9842,60.6465,6.3377,5.8476,1.0
125,2001-06-13,68.5,67.6483,61.2442,6.4041,6.0593,1.0
126,2001-06-14,70.35,68.4758,61.8338,6.642,6.2357,1.0
127,2001-06-15,73.0,69.5717,62.5573,7.0144,6.4094,1.0
128,2001-06-18,71.47,70.3942,63.275,7.1192,6.5279,1.0
129,2001-06-19,70.0,70.7783,63.9673,6.811,6.5763,1.0
130,2001-06-20,70.84,70.935,64.7442,6.1908,6.5673,1.0
131,2001-06-21,68.61,70.4383,65.4673,4.971,6.4239,1.0
132,2001-06-22,66.73,70.0858,65.9885,4.0973,6.1764,1.0
133,2001-06-25,65.09,69.43,66.3727,3.0573,5.8119,1.0
134,2001-06-26,62.84,68.695,66.5954,2.0996,5.3336,1.0
135,2001-06-27,64.38,68.315,66.6696,1.6454,4.7784,1.0
136,2001-06-28,64.98,68.0658,66.8535,1.2123,4.1338,1.0
137,2001-06-29,67.69,67.9983,67.2581,0.7402,3.425,1.0
138,2001-07-02,65.75,67.615,67.4631,0.1519,2.6851,1.0
139,2001-07-03,68.03,67.2008,67.7515,-0.5507,1.936,0.0
140,2001-07-05,63.6,66.545,67.8738,-1.3288,1.2361,0.0
141,2001-07-06,61.77,65.8592,67.9477,-2.0885,0.5487,0.0
142,2001-07-09,63.78,65.2708,68.0315,-2.7607,-0.0977,0.0
143,2001-07-10,61.3,64.6617,67.8742,-3.2125,-0.6879,0.0
