,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,42.37,,,,,
1,2000-12-13,41.59,,,,,
2,2000-12-14,41.98,,,,,
3,2000-12-15,41.49,,,,,
4,2000-12-18,41.69,,,,,
5,2000-12-19,40.81,,,,,
6,2000-12-20,41.3,,,,,
7,2000-12-21,42.91,,,,,
8,2000-12-22,43.3,,,,,
9,2000-12-26,43.34,,,,,
10,2000-12-27,44.17,,,,,
11,2000-12-28,44.12,42.4225,,,,
12,2000-12-29,43.05,42.4792,,,,
13,2001-01-02,42.91,42.5892,,,,
14,2001-01-03,43.69,42.7317,,,,
15,2001-01-04,43.88,42.9308,,,,
16,2001-01-05,42.56,43.0033,,,,
17,2001-01-08,42.37,43.1333,,,,
18,2001-01-09,41.44,43.145,,,,
19,2001-01-10,41.64,43.0392,,,,
20,2001-01-11,41.74,42.9092,,,,
21,2001-01-12,39.3,42.5725,,,,
22,2001-01-16,40.47,42.2642,,,,
23,2001-01-17,39.68,41.8942,,,,
24,2001-01-18,38.75,41.5358,,,,
25,2001-01-19,37.09,41.0508,41.8323,,,
26,2001-01-22,39.48,40.7,41.7212,-1.0212,,0.0
27,2001-01-23,40.66,40.4317,41.6854,-1.2537,,0.0
28,2001-01-24,40.76,40.2817,41.6385,-1.3568,,0.0
29,2001-01-25,41.05,40.1717,41.6215,-1.4498,,0.0
30,2001-01-26,41.83,40.2042,41.6269,-1.4227,,0.0
31,2001-01-29,42.3,40.2592,41.6842,-1.425,,0.0
32,2001-01-30,43.25,40.385,41.7592,-1.3742,,0.0
33,2001-01-31,42.84,40.68,41.7565,-1.0765,,0.0
34,2001-02-01,42.41,40.8417,41.7223,-0.8806,-1.2512,0.0
35,2001-02-02,42.04,41.0383,41.6723,-0.634,-1.2081,0.0
36,2001-02-05,43.02,41.3942,41.6281,-0.2339,-1.0948,0.0
37,2001-02-06,42.08,41.81,41.5496,0.2604,-0.9151,1.0
38,2001-02-07,42.21,42.0375,41.5173,0.5202,-0.6963,1.0
39,2001-02-08,41.65,42.12,41.4688,0.6512,-0.4658,1.0
40,2001-02-09,42.23,42.2425,41.4127,0.8298,-0.2153,1.0
41,2001-02-12,42.51,42.3642,41.36,1.0042,0.049,1.0
42,2001-02-13,42.29,42.4025,41.3496,1.0529,0.2856,1.0
43,2001-02-14,42.12,42.3875,41.34,1.0475,0.4998,1.0
44,2001-02-15,42.04,42.2867,41.3631,0.9236,0.6729,1.0
45,2001-02-16,42.27,42.2392,41.3873,0.8519,0.7935,1.0
46,2001-02-20,39.66,42.01,41.3073,0.7027,0.8427,1.0
47,2001-02-21,39.41,41.7908,41.3115,0.4793,0.8381,1.0
48,2001-02-22,39.34,41.4842,41.2681,0.2161,0.7898,1.0
49,2001-02-23,39.7,41.2858,41.2688,0.017,0.6995,1.0
50,2001-02-26,40.0,41.1017,41.3169,-0.2152,0.564,0.0
51,2001-02-27,40.67,41.02,41.4546,-0.4346,0.3987,0.0
52,2001-02-28,40.53,40.8783,41.495,-0.6167,0.2138,0.0
53,2001-03-01,40.28,40.6925,41.4804,-0.7879,0.0236,0.0
54,2001-03-02,40.2,40.5183,41.4588,-0.9405,-0.1755,0.0
55,2001-03-05,39.81,40.3258,41.4112,-1.0854,-0.3742,0.0
56,2001-03-06,39.72,40.1325,41.33,-1.1975,-0.5605,0.0
57,2001-03-07,40.29,39.9675,41.2527,-1.2852,-0.7273,0.0
58,2001-03-08,39.65,39.9667,41.1142,-1.1475,-0.8567,0.0
59,2001-03-09,38.51,39.8917,40.9477,-1.056,-0.9501,0.0
60,2001-03-12,36.79,39.6792,40.7315,-1.0523,-1.0188,0.0
61,2001-03-13,37.11,39.4633,40.5419,-1.0786,-1.0701,0.0
62,2001-03-14,34.91,39.0392,40.23,-1.1908,-1.1149,0.0
63,2001-03-15,36.95,38.7292,40.0327,-1.3035,-1.1552,0.0
64,2001-03-16,35.46,38.3067,39.7731,-1.4664,-1.1975,0.0
65,2001-03-19,35.58,37.915,39.5396,-1.6246,-1.245,0.0
66,2001-03-20,34.62,37.45,39.2469,-1.7969,-1.3018,0.0
67,2001-03-21,33.47,36.9217,38.8992,-1.9775,-1.3941,0.0
68,2001-03-22,33.65,36.4158,38.5669,-2.1511,-1.5157,0.0
69,2001-03-23,35.39,36.0075,38.3081,-2.3006,-1.6544,0.0
70,2001-03-26,36.15,35.7158,38.0815,-2.3657,-1.7975,0.0
71,2001-03-27,37.81,35.6575,37.91,-2.2525,-1.9154,0.0
72,2001-03-28,38.51,35.8008,37.8658,-2.065,-2.0,0.0
73,2001-03-29,37.97,35.8725,37.8104,-1.9379,-2.0524,0.0
74,2001-03-30,38.55,36.1758,37.78,-1.6042,-2.0502,0.0
75,2001-04-02,38.62,36.315,37.7385,-1.4235,-2.0087,0.0
76,2001-04-03,38.04,36.53,37.6631,-1.1331,-1.9148,0.0
77,2001-04-04,37.38,36.68,37.5365,-0.8565,-1.771,0.0
78,2001-04-05,38.59,37.0108,37.4619,-0.4511,-1.5655,0.0
79,2001-04-06,37.84,37.375,37.3681,0.0069,-1.3019,1.0
80,2001-04-09,37.96,37.7342,37.2819,0.4523,-1.0013,1.0
81,2001-04-10,38.7,38.01,37.2392,0.7708,-0.6863,1.0
82,2001-04-11,38.61,38.215,37.1965,1.0185,-0.3578,1.0
83,2001-04-12,38.75,38.2933,37.1373,1.156,-0.0511,1.0
84,2001-04-16,38.87,38.3233,37.1073,1.216,0.2422,1.0
85,2001-04-17,39.34,38.4375,37.1392,1.2983,0.5124,1.0
86,2001-04-18,40.34,38.5867,37.2758,1.3109,0.7532,1.0
87,2001-04-19,41.01,38.7858,37.4258,1.36,0.9544,1.0
88,2001-04-20,40.88,39.0225,37.6554,1.3671,1.1055,1.0
89,2001-04-23,40.59,39.29,37.7954,1.4946,1.2214,1.0
90,2001-04-24,39.32,39.3508,37.9438,1.407,1.292,1.0
91,2001-04-25,39.4,39.4808,38.0908,1.39,1.3333,1.0
92,2001-04-26,39.18,39.5825,38.2662,1.3163,1.3511,1.0
93,2001-04-27,39.28,39.6308,38.4896,1.1412,1.3428,1.0
94,2001-04-30,39.44,39.7,38.7123,0.9877,1.3083,1.0
95,2001-05-01,39.86,39.7925,38.8842,0.9083,1.2636,1.0
96,2001-05-02,39.38,39.835,39.0085,0.8265,1.2043,1.0
97,2001-05-03,39.98,39.8883,39.0919,0.7964,1.1409,1.0
98,2001-05-04,40.62,39.9117,39.1731,0.7386,1.0569,1.0
99,2001-05-07,40.34,39.8558,39.2642,0.5916,0.9663,1.0
100,2001-05-08,39.91,39.775,39.3165,0.4585,0.8628,1.0
101,2001-05-09,39.94,39.7208,39.3673,0.3535,0.7558,1.0
102,2001-05-10,39.76,39.7575,39.4335,0.324,0.665,1.0
103,2001-05-11,39.28,39.7475,39.5065,0.241,0.582,1.0
104,2001-05-14,39.87,39.805,39.5558,0.2492,0.5088,1.0
105,2001-05-15,40.87,39.9375,39.6723,0.2652,0.4464,1.0
106,2001-05-16,42.04,40.1542,39.8292,0.325,0.3941,1.0
107,2001-05-17,42.46,40.3708,39.9738,0.397,0.3561,1.0
108,2001-05-18,41.8,40.5725,40.0965,0.476,0.3433,1.0
109,2001-05-21,42.07,40.7467,40.2242,0.5225,0.3504,1.0
110,2001-05-22,42.93,40.9392,40.3804,0.5588,0.3732,1.0
111,2001-05-23,43.02,41.1625,40.5219,0.6406,0.4084,1.0
112,2001-05-24,42.93,41.4142,40.6215,0.7927,0.4697,1.0
113,2001-05-25,42.37,41.6167,40.6738,0.9429,0.5467,1.0
114,2001-05-29,42.6,41.8533,40.74,1.1133,0.641,1.0
115,2001-05-30,42.5,42.1217,40.8135,1.3082,0.7502,1.0
116,2001-05-31,42.9,42.3742,40.9512,1.423,0.8642,1.0
117,2001-06-01,43.48,42.5917,41.1081,1.4836,0.9762,1.0
118,2001-06-04,43.42,42.7067,41.2712,1.4355,1.0776,1.0
119,2001-06-05,42.79,42.7342,41.4062,1.328,1.1631,1.0
120,2001-06-06,42.37,42.7817,41.5188,1.2629,1.2322,1.0
121,2001-06-07,41.68,42.7492,41.5888,1.1604,1.2731,1.0
122,2001-06-08,41.16,42.6017,41.6573,0.9444,1.2733,1.0
123,2001-06-11,41.15,42.4458,41.7023,0.7435,1.2322,1.0
124,2001-06-12,40.95,42.2808,41.715,0.5658,1.1497,1.0
125,2001-06-13,40.54,42.1283,41.7227,0.4056,1.0366,1.0
126,2001-06-14,40.08,41.9183,41.7292,0.1891,0.8928,1.0
127,2001-06-15,39.64,41.68,41.7177,-0.0377,0.7291,0.0
128,2001-06-18,39.84,41.425,41.7208,-0.2958,0.5487,0.0
129,2001-06-19,40.15,41.1475,41.7542,-0.6067,0.341,0.0
130,2001-06-20,40.38,40.8942,41.7738,-0.8796,0.1143,0.0
131,2001-06-21,41.4,40.7783,41.7942,-1.0159,-0.1035,0.0
132,2001-06-22,40.03,40.5833,41.7169,-1.1336,-0.3121,0.0
133,2001-06-25,38.38,40.3083,41.56,-1.2517,-0.514,0.0
134,2001-06-26,38.66,40.1,41.4392,-1.3392,-0.7079,0.0
135,2001-06-27,38.54,39.8825,41.3035,-1.421,-0.8868,0.0
136,2001-06-28,38.57,39.6842,41.1358,-1.4516,-1.0439,0.0
137,2001-06-29,37.71,39.4483,40.9315,-1.4832,-1.1758,0.0
138,2001-07-02,38.31,39.3008,40.7538,-1.453,-1.2699,0.0
139,2001-07-03,37.89,39.155,40.5815,-1.4265,-1.3306,0.0
140,2001-07-05,37.0,38.9183,40.3662,-1.4479,-1.3786,0.0
141,2001-07-06,36.6,38.6225,40.1392,-1.5167,-1.4212,0.0
142,2001-07-09,37.67,38.3967,39.9381,-1.5414,-1.4534,0.0
143,2001-07-10,36.77,38.0108,39.68,-1.6692,-1.4901,0.0
144,2001-07-11,37.4,37.7917,39.4485,-1.6568,-1.5163,0.0
145,2001-07-12,37.67,37.7325,39.2515,-1.519,-1.5237,0.0
146,2001-07-13,38.81,37.745,39.1146,-1.3696,-1.5111,0.0
147,2001-07-16,33.78,37.3483,38.8108,-1.4625,-1.5122,0.0
148,2001-07-17,33.39,36.9167,38.5119,-1.5952,-1.5309,0.0
149,2001-07-18,34.5,36.6492,38.2562,-1.607,-1.5486,0.0
150,2001-07-19,34.3,36.315,38.0004,-1.6854,-1.5673,0.0
151,2001-07-20,33.53,35.9517,37.7308,-1.7791,-1.5938,0.0
152,2001-07-23,33.26,35.64,37.4685,-1.8285,-1.6115,0.0
153,2001-07-24,33.59,35.3892,37.2358,-1.8466,-1.6325,0.0
154,2001-07-25,33.97,35.0808,37.01,-1.9292,-1.6781,0.0
155,2001-07-26,34.57,34.8975,36.7954,-1.8979,-1.7368,0.0
156,2001-07-27,35.66,34.7525,36.6138,-1.8613,-1.7811,0.0
157,2001-07-30,35.36,34.56,36.3815,-1.8215,-1.8063,0.0
158,2001-07-31,35.39,34.275,36.2031,-1.9281,-1.842,0.0
159,2001-08-01,35.03,34.3792,36.0742,-1.695,-1.843,0.0
160,2001-08-02,35.69,34.5708,35.96,-1.3892,-1.7997,0.0
161,2001-08-03,35.61,34.6633,35.8473,-1.184,-1.7281,0.0
162,2001-08-06,35.52,34.765,35.73,-0.965,-1.6301,0.0
163,2001-08-07,35.62,34.9392,35.6496,-0.7104,-1.4947,0.0
164,2001-08-08,35.74,35.1458,35.5508,-0.405,-1.3288,0.0
165,2001-08-09,35.74,35.325,35.4681,-0.1431,-1.1379,0.0
166,2001-08-10,35.86,35.4825,35.4242,0.0583,-0.9291,1.0
