,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,45.46,,,,,
1,2000-12-13,45.6,,,,,
2,2000-12-14,44.76,,,,,
3,2000-12-15,44.76,,,,,
4,2000-12-18,45.22,,,,,
5,2000-12-19,44.54,,,,,
6,2000-12-20,43.52,,,,,
7,2000-12-21,43.42,,,,,
8,2000-12-22,43.7,,,,,
9,2000-12-26,43.98,,,,,
10,2000-12-27,45.12,,,,,
11,2000-12-28,46.1,44.6817,,,,
12,2000-12-29,47.08,44.8167,,,,
13,2001-01-02,48.22,45.035,,,,
14,2001-01-03,46.7,45.1967,,,,
15,2001-01-04,45.88,45.29,,,,
16,2001-01-05,44.98,45.27,,,,
17,2001-01-08,44.84,45.295,,,,
18,2001-01-09,44.0,45.335,,,,
19,2001-01-10,44.86,45.455,,,,
20,2001-01-11,43.4,45.43,,,,
21,2001-01-12,43.8,45.415,,,,
22,2001-01-16,44.54,45.3667,,,,
23,2001-01-17,45.1,45.2833,,,,
24,2001-01-18,45.38,45.1417,,,,
25,2001-01-19,44.84,44.86,44.9923,,,
26,2001-01-22,44.84,44.705,44.9685,-0.2635,,0.0
27,2001-01-23,44.72,44.6083,44.9346,-0.3263,,0.0
28,2001-01-24,44.32,44.5533,44.9177,-0.3644,,0.0
29,2001-01-25,44.48,44.5233,44.9069,-0.3836,,0.0
30,2001-01-26,44.48,44.5633,44.8785,-0.3152,,0.0
31,2001-01-29,44.58,44.54,44.88,-0.34,,0.0
32,2001-01-30,45.52,44.7167,44.9569,-0.2402,,0.0
33,2001-01-31,45.0,44.8167,45.0177,-0.201,,0.0
34,2001-02-01,46.0,44.9383,45.1062,-0.1679,-0.2891,0.0
35,2001-02-02,46.64,45.0667,45.2085,-0.1418,-0.2756,0.0
36,2001-02-05,46.02,45.12,45.2431,-0.1231,-0.253,0.0
37,2001-02-06,45.5,45.175,45.22,-0.045,-0.2175,0.0
38,2001-02-07,45.0,45.1883,45.14,0.0483,-0.1695,1.0
39,2001-02-08,46.06,45.3,45.0569,0.2431,-0.1075,1.0
40,2001-02-09,45.84,45.4267,45.0238,0.4029,-0.025,1.0
41,2001-02-12,46.3,45.5783,45.04,0.5383,0.0615,1.0
42,2001-02-13,46.96,45.785,45.1162,0.6688,0.1582,1.0
43,2001-02-14,46.46,45.9417,45.1785,0.7632,0.2616,1.0
44,2001-02-15,46.44,46.0183,45.2723,0.746,0.3603,1.0
45,2001-02-16,46.56,46.1483,45.3377,0.8106,0.464,1.0
46,2001-02-20,45.74,46.1267,45.4277,0.699,0.5467,1.0
47,2001-02-21,45.68,46.0467,45.5,0.5467,0.6021,1.0
48,2001-02-22,45.74,46.0233,45.5462,0.4771,0.6281,1.0
49,2001-02-23,45.5,46.0233,45.5615,0.4618,0.6346,1.0
50,2001-02-26,46.64,46.16,45.61,0.55,0.6359,1.0
51,2001-02-27,47.22,46.2567,45.7015,0.5552,0.6233,1.0
52,2001-02-28,46.78,46.335,45.7762,0.5588,0.6006,1.0
53,2001-03-01,46.76,46.3733,45.8546,0.5187,0.5753,1.0
54,2001-03-02,46.42,46.3283,45.9354,0.3929,0.5289,1.0
55,2001-03-05,47.4,46.4067,46.0477,0.359,0.4911,1.0
56,2001-03-06,47.38,46.485,46.1592,0.3258,0.4666,1.0
57,2001-03-07,47.44,46.5583,46.2692,0.2891,0.4457,1.0
58,2001-03-08,47.72,46.7233,46.3538,0.3695,0.4354,1.0
59,2001-03-09,47.46,46.8717,46.4485,0.4232,0.4214,1.0
60,2001-03-12,46.32,46.92,46.4608,0.4592,0.4107,1.0
61,2001-03-13,46.12,46.9717,46.4408,0.5309,0.4076,1.0
62,2001-03-14,43.84,46.7383,46.3569,0.3814,0.3923,1.0
63,2001-03-15,45.18,46.5683,46.3446,0.2237,0.3735,1.0
64,2001-03-16,43.24,46.2733,46.2769,-0.0036,0.3332,0.0
65,2001-03-19,43.22,45.9783,46.1677,-0.1894,0.276,0.0
66,2001-03-20,43.0,45.6933,46.0585,-0.3652,0.2033,0.0
67,2001-03-21,43.18,45.3417,45.9385,-0.5968,0.0959,0.0
68,2001-03-22,42.88,44.9667,45.7815,-0.8148,-0.0416,0.0
69,2001-03-23,44.36,44.71,45.7008,-0.9908,-0.2027,0.0
70,2001-03-26,44.26,44.4217,45.6169,-1.1952,-0.3945,0.0
71,2001-03-27,45.32,44.2433,45.5692,-1.3259,-0.5842,0.0
72,2001-03-28,43.14,43.9783,45.4692,-1.4909,-0.7747,0.0
73,2001-03-29,42.1,43.6433,45.3315,-1.6882,-0.9619,0.0
74,2001-03-30,43.52,43.6167,45.2462,-1.6295,-1.1219,0.0
75,2001-04-02,42.5,43.3933,45.1308,-1.7375,-1.2744,0.0
76,2001-04-03,41.94,43.285,44.95,-1.665,-1.3931,0.0
77,2001-04-04,43.28,43.29,44.7985,-1.5085,-1.4702,0.0
78,2001-04-05,45.3,43.4817,44.7415,-1.2598,-1.5001,0.0
79,2001-04-06,44.5,43.5917,44.6546,-1.0629,-1.4854,0.0
80,2001-04-09,44.2,43.7017,44.5692,-0.8675,-1.4344,0.0
81,2001-04-10,43.02,43.59,44.4008,-0.8108,-1.3589,0.0
82,2001-04-11,43.0,43.485,44.2323,-0.7473,-1.2543,0.0
83,2001-04-12,42.6,43.2583,44.0462,-0.7879,-1.1608,0.0
84,2001-04-16,42.8,43.23,43.8569,-0.6269,-1.0374,0.0
85,2001-04-17,45.04,43.475,43.7638,-0.2888,-0.8845,0.0
86,2001-04-18,45.34,43.6267,43.7262,-0.0995,-0.7279,0.0
87,2001-04-19,45.92,43.9117,43.7185,0.1932,-0.5665,1.0
88,2001-04-20,45.7,44.225,43.79,0.435,-0.4001,1.0
89,2001-04-23,45.64,44.4217,43.8077,0.614,-0.2354,1.0
90,2001-04-24,44.68,44.37,43.8631,0.5069,-0.089,1.0
91,2001-04-25,43.76,44.3083,43.8838,0.4245,0.0412,1.0
92,2001-04-26,44.04,44.295,43.9238,0.3712,0.17,1.0
93,2001-04-27,44.7,44.435,43.9823,0.4527,0.2899,1.0
94,2001-04-30,45.5,44.6433,44.0831,0.5602,0.3842,1.0
95,2001-05-01,45.6,44.8933,44.1308,0.7625,0.48,1.0
96,2001-05-02,45.3,45.1017,44.1708,0.9309,0.562,1.0
97,2001-05-03,45.32,45.125,44.1708,0.9542,0.6197,1.0
98,2001-05-04,45.86,45.1683,44.2754,0.8929,0.6507,1.0
99,2001-05-07,46.38,45.2067,44.44,0.7667,0.6795,1.0
100,2001-05-08,46.12,45.2417,44.54,0.7017,0.7103,1.0
101,2001-05-09,45.86,45.26,44.6692,0.5908,0.7347,1.0
102,2001-05-10,45.44,45.3233,44.8038,0.5195,0.7422,1.0
103,2001-05-11,45.36,45.4567,44.8838,0.5729,0.7436,1.0
104,2001-05-14,44.84,45.5233,44.8662,0.6571,0.7319,1.0
