,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,373.35,,,,,
1,2000-12-13,376.01,,,,,
2,2000-12-14,360.04,,,,,
3,2000-12-15,340.98,,,,,
4,2000-12-18,350.29,,,,,
5,2000-12-19,356.5,,,,,
6,2000-12-20,340.53,,,,,
7,2000-12-21,345.86,,,,,
8,2000-12-22,355.17,,,,,
9,2000-12-26,361.37,,,,,
10,2000-12-27,360.93,,,,,
11,2000-12-28,363.59,357.0517,,,,
12,2000-12-29,362.26,356.1275,,,,
13,2001-01-02,358.27,354.6492,,,,
14,2001-01-03,389.75,357.125,,,,
15,2001-01-04,395.07,361.6325,,,,
16,2001-01-05,380.88,364.1817,,,,
17,2001-01-08,378.67,366.0292,,,,
18,2001-01-09,370.24,368.505,,,,
19,2001-01-10,382.66,371.5717,,,,
20,2001-01-11,390.2,374.4908,,,,
21,2001-01-12,376.89,375.7842,,,,
22,2001-01-16,387.98,378.0383,,,,
23,2001-01-17,381.77,379.5533,,,,
24,2001-01-18,384.88,381.4383,,,,
25,2001-01-19,385.76,383.7292,369.6115,,,
26,2001-01-22,382.21,383.1008,369.9523,13.1485,,1.0
27,2001-01-23,389.31,382.6208,370.4638,12.157,,1.0
28,2001-01-24,395.96,383.8775,371.8454,12.0321,,1.0
29,2001-01-25,392.41,385.0225,373.8235,11.199,,1.0
30,2001-01-26,391.53,386.7967,375.4096,11.3871,,1.0
31,2001-01-29,398.71,388.1342,377.0331,11.1011,,1.0
32,2001-01-30,398.71,388.8433,379.2708,9.5725,,1.0
33,2001-01-31,397.08,390.5258,381.2408,9.285,,1.0
34,2001-02-01,399.07,391.45,382.9292,8.5208,10.9337,1.0
35,2001-02-02,394.45,392.5067,384.2015,8.3052,10.3955,1.0
36,2001-02-05,400.42,393.8017,385.7204,8.0813,9.9427,1.0
37,2001-02-06,392.1,394.33,386.8169,7.5131,9.4406,1.0
38,2001-02-07,386.62,394.6975,387.7538,6.9437,8.9678,1.0
39,2001-02-08,384.77,394.3192,388.7731,5.5461,8.3188,1.0
40,2001-02-09,384.42,393.3575,388.5681,4.7894,7.6175,1.0
41,2001-02-12,394.38,393.5217,388.5415,4.9802,7.1072,1.0
42,2001-02-13,388.26,393.2492,388.8254,4.4238,6.5671,1.0
43,2001-02-14,381.57,391.8208,388.9369,2.8839,5.9407,1.0
44,2001-02-15,384.56,390.6417,389.4877,1.154,5.1462,1.0
45,2001-02-16,384.06,389.5567,389.5415,0.0152,4.2499,1.0
46,2001-02-20,364.15,386.6467,388.5396,-1.8929,3.2048,0.0
47,2001-02-21,343.52,382.4025,387.2562,-4.8537,1.894,0.0
48,2001-02-22,345.66,377.8392,385.6285,-7.7893,0.4123,0.0
49,2001-02-23,342.81,373.7317,384.13,-10.3983,-1.2752,0.0
50,2001-02-26,357.75,371.3258,383.0865,-11.7607,-3.1353,0.0
51,2001-02-27,354.19,368.7775,381.8723,-13.0948,-5.0818,0.0
52,2001-02-28,349.78,365.8908,380.625,-14.7342,-7.0394,0.0
