,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,15.04,,,,,
1,2000-12-13,14.8,,,,,
2,2000-12-14,14.44,,,,,
3,2000-12-15,14.49,,,,,
4,2000-12-18,15.02,,,,,
5,2000-12-19,15.22,,,,,
6,2000-12-20,15.29,,,,,
7,2000-12-21,15.89,,,,,
8,2000-12-22,16.55,,,,,
9,2000-12-26,16.95,,,,,
10,2000-12-27,16.86,,,,,
11,2000-12-28,16.91,15.6217,,,,
12,2000-12-29,16.8,15.7683,,,,
13,2001-01-02,16.44,15.905,,,,
14,2001-01-03,16.51,16.0775,,,,
15,2001-01-04,17.28,16.31,,,,
16,2001-01-05,16.29,16.4158,,,,
17,2001-01-08,16.24,16.5008,,,,
18,2001-01-09,16.22,16.5783,,,,
19,2001-01-10,16.0,16.5875,,,,
20,2001-01-11,16.13,16.5525,,,,
21,2001-01-12,15.51,16.4325,,,,
22,2001-01-16,15.86,16.3492,,,,
23,2001-01-17,15.98,16.2717,,,,
24,2001-01-18,14.93,16.1158,,,,
25,2001-01-19,14.53,15.9567,15.8531,,,
26,2001-01-22,14.62,15.7992,15.8369,-0.0377,,0.0
27,2001-01-23,14.89,15.6,15.8404,-0.2404,,0.0
28,2001-01-24,15.09,15.5,15.8654,-0.3654,,0.0
29,2001-01-25,15.49,15.4375,15.9038,-0.4663,,0.0
30,2001-01-26,15.47,15.375,15.9212,-0.5462,,0.0
31,2001-01-29,15.42,15.3267,15.9288,-0.6021,,0.0
32,2001-01-30,15.88,15.3058,15.9515,-0.6457,,0.0
33,2001-01-31,15.82,15.3317,15.9488,-0.6171,,0.0
34,2001-02-01,15.86,15.3317,15.9223,-0.5906,-0.4568,0.0
35,2001-02-02,15.84,15.32,15.8796,-0.5596,-0.5148,0.0
36,2001-02-05,15.66,15.3808,15.8335,-0.4527,-0.5384,0.0
37,2001-02-06,15.57,15.4675,15.7819,-0.3144,-0.5327,0.0
38,2001-02-07,15.6,15.5492,15.7358,-0.1866,-0.5017,0.0
39,2001-02-08,15.45,15.5958,15.6977,-0.1019,-0.4523,0.0
40,2001-02-09,15.38,15.62,15.6542,-0.0342,-0.3892,0.0
41,2001-02-12,15.43,15.615,15.5831,0.0319,-0.3139,1.0
42,2001-02-13,15.47,15.615,15.5515,0.0635,-0.2383,1.0
43,2001-02-14,15.35,15.6092,15.5173,0.0919,-0.1625,1.0
44,2001-02-15,15.78,15.6008,15.5004,0.1004,-0.0891,1.0
45,2001-02-16,15.62,15.5842,15.4858,0.0984,-0.0279,1.0
46,2001-02-20,14.95,15.5083,15.4404,0.0679,0.0146,1.0
47,2001-02-21,14.65,15.4092,15.4073,0.0019,0.0355,1.0
48,2001-02-22,14.56,15.3175,15.3573,-0.0398,0.0424,0.0
49,2001-02-23,14.34,15.215,15.2942,-0.0792,0.0374,0.0
50,2001-02-26,14.89,15.1558,15.2927,-0.1369,0.0187,0.0
51,2001-02-27,15.2,15.135,15.3185,-0.1835,-0.0088,0.0
52,2001-02-28,14.88,15.0933,15.3285,-0.2352,-0.0451,0.0
53,2001-03-01,15.02,15.0592,15.3335,-0.2743,-0.0867,0.0
54,2001-03-02,15.27,15.0425,15.3404,-0.2979,-0.1308,0.0
55,2001-03-05,15.86,15.085,15.3546,-0.2696,-0.1683,0.0
56,2001-03-06,15.92,15.0967,15.3719,-0.2752,-0.1991,0.0
57,2001-03-07,16.74,15.19,15.4227,-0.2327,-0.2205,0.0
58,2001-03-08,17.1,15.3692,15.4696,-0.1004,-0.2229,0.0
59,2001-03-09,16.76,15.545,15.5058,0.0392,-0.2033,1.0
60,2001-03-12,16.08,15.6717,15.5142,0.1575,-0.1654,1.0
61,2001-03-13,16.47,15.8492,15.5385,0.3107,-0.1047,1.0
62,2001-03-14,16.02,15.9433,15.5523,0.391,-0.0308,1.0
63,2001-03-15,16.1,16.0183,15.5727,0.4456,0.0518,1.0
64,2001-03-16,15.95,16.1075,15.5862,0.5213,0.1397,1.0
65,2001-03-19,16.15,16.2017,15.6131,0.5886,0.2356,1.0
66,2001-03-20,15.69,16.2367,15.625,0.6117,0.3295,1.0
67,2001-03-21,15.09,16.1725,15.6119,0.5606,0.4029,1.0
68,2001-03-22,14.8,16.0792,15.5862,0.493,0.4533,1.0
69,2001-03-23,14.94,15.9292,15.5704,0.3588,0.4757,1.0
70,2001-03-26,15.36,15.7842,15.5542,0.23,0.4667,1.0
71,2001-03-27,16.03,15.7233,15.57,0.1533,0.4403,1.0
72,2001-03-28,16.28,15.74,15.6212,0.1188,0.404,1.0
73,2001-03-29,15.96,15.6975,15.6715,0.026,0.349,1.0
74,2001-03-30,15.88,15.6858,15.7223,-0.0365,0.2795,0.0
75,2001-04-02,15.9,15.6692,15.7823,-0.1131,0.199,0.0
76,2001-04-03,15.08,15.5967,15.7896,-0.1929,0.1153,0.0
77,2001-04-04,15.58,15.5492,15.8042,-0.255,0.0322,0.0
78,2001-04-05,16.38,15.6067,15.8619,-0.2552,-0.0361,0.0
79,2001-04-06,15.94,15.6775,15.8973,-0.2198,-0.086,0.0
80,2001-04-09,16.09,15.785,15.9288,-0.1438,-0.1191,0.0
81,2001-04-10,16.35,15.9025,15.9477,-0.0452,-0.1373,0.0
82,2001-04-11,16.15,15.9683,15.9565,0.0118,-0.1389,1.0
83,2001-04-12,16.82,16.0342,15.9596,0.0746,-0.1265,1.0
84,2001-04-16,16.72,16.0708,15.945,0.1258,-0.1,1.0
85,2001-04-17,16.37,16.105,15.93,0.175,-0.0591,1.0
86,2001-04-18,17.33,16.2258,15.9781,0.2477,-0.0032,1.0
87,2001-04-19,17.18,16.3325,16.0054,0.3271,0.0615,1.0
88,2001-04-20,17.25,16.5133,16.0527,0.4606,0.1371,1.0
89,2001-04-23,17.38,16.6633,16.1019,0.5614,0.2154,1.0
90,2001-04-24,17.4,16.7483,16.1577,0.5906,0.2861,1.0
91,2001-04-25,18.01,16.9208,16.2292,0.6916,0.3616,1.0
92,2001-04-26,17.78,17.0617,16.3096,0.7521,0.4369,1.0
93,2001-04-27,18.12,17.2092,16.4262,0.783,0.5099,1.0
94,2001-04-30,18.08,17.37,16.5523,0.8177,0.5813,1.0
95,2001-05-01,18.29,17.4925,16.6812,0.8113,0.6439,1.0
96,2001-05-02,18.12,17.6092,16.7873,0.8219,0.6989,1.0
97,2001-05-03,18.03,17.7475,16.8642,0.8833,0.7459,1.0
98,2001-05-04,18.21,17.8208,16.9385,0.8823,0.7815,1.0
99,2001-05-07,18.56,17.9358,17.0385,0.8973,0.8156,1.0
100,2001-05-08,18.68,18.055,17.1462,0.9088,0.8397,1.0
101,2001-05-09,18.73,18.1675,17.255,0.9125,0.8576,1.0
102,2001-05-10,19.25,18.3217,17.4154,0.9063,0.8713,1.0
103,2001-05-11,19.16,18.4175,17.5531,0.8644,0.8765,1.0
104,2001-05-14,19.03,18.5217,17.655,0.8667,0.8826,1.0
105,2001-05-15,19.14,18.6067,17.7781,0.8286,0.8834,1.0
106,2001-05-16,20.14,18.7783,17.9338,0.8445,0.879,1.0
107,2001-05-17,19.9,18.9125,18.0704,0.8421,0.8746,1.0
108,2001-05-18,19.9,19.0608,18.2146,0.8462,0.8689,1.0
109,2001-05-21,20.07,19.2308,18.3396,0.8912,0.8669,1.0
110,2001-05-22,20.25,19.4008,18.4754,0.9254,0.8684,1.0
111,2001-05-23,19.81,19.505,18.6077,0.8973,0.8674,1.0
112,2001-05-24,19.6,19.5817,18.695,0.8867,0.8699,1.0
113,2001-05-25,19.45,19.6417,18.7823,0.8594,0.869,1.0
114,2001-05-29,19.86,19.6925,18.8827,0.8098,0.867,1.0
115,2001-05-30,19.24,19.6992,18.9542,0.745,0.8559,1.0
116,2001-05-31,19.51,19.7392,19.0354,0.7038,0.8405,1.0
117,2001-06-01,19.76,19.7908,19.1027,0.6881,0.823,1.0
118,2001-06-04,20.09,19.7867,19.1915,0.5952,0.7901,1.0
119,2001-06-05,20.13,19.8058,19.2688,0.537,0.7469,1.0
120,2001-06-06,19.69,19.7883,19.3308,0.4575,0.6981,1.0
121,2001-06-07,19.81,19.7667,19.3892,0.3775,0.6415,1.0
122,2001-06-08,19.57,19.71,19.445,0.265,0.5754,1.0
123,2001-06-11,19.22,19.6608,19.4908,0.17,0.5043,1.0
124,2001-06-12,19.39,19.6433,19.5362,0.1071,0.4335,1.0
125,2001-06-13,19.47,19.645,19.5712,0.0738,0.3635,1.0
126,2001-06-14,19.52,19.6167,19.6035,0.0132,0.2885,1.0
127,2001-06-15,19.51,19.6392,19.6335,0.0057,0.223,1.0
128,2001-06-18,19.62,19.6483,19.6477,0.0006,0.1634,1.0
129,2001-06-19,19.41,19.6192,19.6573,-0.0381,0.1083,0.0
130,2001-06-20,19.99,19.6108,19.6942,-0.0834,0.0571,0.0
131,2001-06-21,20.17,19.6142,19.7338,-0.1196,0.0144,0.0
132,2001-06-22,19.69,19.6142,19.7165,-0.1023,-0.0159,0.0
133,2001-06-25,18.97,19.5442,19.6808,-0.1366,-0.043,0.0
134,2001-06-26,19.16,19.51,19.6523,-0.1423,-0.067,0.0
135,2001-06-27,18.84,19.4783,19.605,-0.1267,-0.0825,0.0
136,2001-06-28,18.25,19.3833,19.5281,-0.1448,-0.0992,0.0
137,2001-06-29,18.03,19.2633,19.4596,-0.1963,-0.1211,0.0
138,2001-07-02,18.72,19.1967,19.4258,-0.2291,-0.1423,0.0
139,2001-07-03,18.73,19.1317,19.3981,-0.2664,-0.1627,0.0
140,2001-07-05,18.62,19.0483,19.3504,-0.3021,-0.183,0.0
141,2001-07-06,17.87,18.92,19.2977,-0.3777,-0.2136,0.0
142,2001-07-09,18.16,18.7675,19.2458,-0.4783,-0.2515,0.0
143,2001-07-10,17.57,18.5508,19.1615,-0.6107,-0.3036,0.0
144,2001-07-11,17.65,18.3808,19.0677,-0.6869,-0.3658,0.0
145,2001-07-12,18.7,18.3583,19.0127,-0.6544,-0.4224,0.0
146,2001-07-13,18.91,18.3375,18.9827,-0.6452,-0.4723,0.0
147,2001-07-16,18.15,18.28,18.9188,-0.6388,-0.5178,0.0
148,2001-07-17,19.29,18.3667,18.9081,-0.5414,-0.5484,0.0
149,2001-07-18,19.1,18.4558,18.9035,-0.4477,-0.5646,0.0
150,2001-07-19,19.65,18.5333,18.9135,-0.3802,-0.5648,0.0
151,2001-07-20,19.58,18.6042,18.9177,-0.3135,-0.5465,0.0
152,2001-07-23,19.54,18.6808,18.9185,-0.2377,-0.5051,0.0
153,2001-07-24,19.18,18.79,18.9058,-0.1158,-0.4416,0.0
154,2001-07-25,19.22,18.8783,18.8904,-0.0121,-0.3703,0.0
155,2001-07-26,19.06,19.0025,18.8769,0.1256,-0.2846,1.0
156,2001-07-27,19.13,19.1258,18.8438,0.282,-0.1823,1.0
157,2001-07-30,19.42,19.1858,18.815,0.3708,-0.081,1.0
158,2001-07-31,19.98,19.275,18.8262,0.4488,0.0187,1.0
159,2001-08-01,19.56,19.3925,18.8488,0.5437,0.1213,1.0
160,2001-08-02,19.8,19.435,18.8735,0.5615,0.2185,1.0
161,2001-08-03,19.74,19.4883,18.9081,0.5802,0.3094,1.0
162,2001-08-06,19.2,19.4508,18.9446,0.5062,0.3785,1.0
163,2001-08-07,19.33,19.43,18.9946,0.4354,0.4282,1.0
164,2001-08-08,19.13,19.3958,19.0104,0.3854,0.4571,1.0
165,2001-08-09,18.98,19.3792,19.02,0.3592,0.4657,1.0
166,2001-08-10,19.45,19.3983,19.0519,0.3464,0.463,1.0
167,2001-08-13,19.59,19.4425,19.1181,0.3244,0.4492,1.0
168,2001-08-14,19.53,19.4758,19.1708,0.305,0.4226,1.0
169,2001-08-15,20.03,19.5267,19.2654,0.2613,0.3893,1.0
170,2001-08-16,19.64,19.4983,19.3419,0.1564,0.3422,1.0
171,2001-08-17,19.49,19.4925,19.3723,0.1202,0.2993,1.0
172,2001-08-20,19.13,19.4367,19.3808,0.0559,0.2571,1.0
173,2001-08-21,19.0,19.375,19.4135,-0.0385,0.21,0.0
174,2001-08-22,19.33,19.3858,19.415,-0.0292,0.1669,0.0
175,2001-08-23,18.78,19.34,19.4027,-0.0627,0.1214,0.0
176,2001-08-24,18.94,19.3242,19.3754,-0.0512,0.0797,0.0
177,2001-08-27,19.02,19.3275,19.3538,-0.0263,0.0429,0.0
178,2001-08-28,18.91,19.2825,19.3296,-0.0471,0.0086,0.0
179,2001-08-29,18.55,19.1958,19.3054,-0.1096,-0.0209,0.0
